query_pid,query_wid,n_rel,s1_rel_ranks,s1_first,s1_ap,s1_top1,cov_K5,hyb_first_K5,hyb_ap_K5,hyb_top1_K5,rr_first_K5,rr_ap_K5,hub_first_K5,hub_ap_K5,hub_top1_K5,cov_K10,hyb_first_K10,hyb_ap_K10,hyb_top1_K10,rr_first_K10,rr_ap_K10,hub_first_K10,hub_ap_K10,hub_top1_K10,cov_K20,hyb_first_K20,hyb_ap_K20,hyb_top1_K20,rr_first_K20,rr_ap_K20,hub_first_K20,hub_ap_K20,hub_top1_K20,cov_K30,hyb_first_K30,hyb_ap_K30,hyb_top1_K30,rr_first_K30,rr_ap_K30,hub_first_K30,hub_ap_K30,hub_top1_K30,cov_K50,hyb_first_K50,hyb_ap_K50,hyb_top1_K50,rr_first_K50,rr_ap_K50,hub_first_K50,hub_ap_K50,hub_top1_K50,cov_K100,hyb_first_K100,hyb_ap_K100,hyb_top1_K100,rr_first_K100,rr_ap_K100,hub_first_K100,hub_ap_K100,hub_top1_K100,cov_K200,hyb_first_K200,hyb_ap_K200,hyb_top1_K200,rr_first_K200,rr_ap_K200,hub_first_K200,hub_ap_K200,hub_top1_K200,cov_K500,hyb_first_K500,hyb_ap_K500,hyb_top1_K500,rr_first_K500,rr_ap_K500,hub_first_K500,hub_ap_K500,hub_top1_K500
P_197337,W_56072,12,1;3;4;17;30;35;38;47;49;64;205;3095,1,0.31182821183166987,P_704961,3,1,0.33960599,P_310840,1,0.32710599,1,0.31182821,P_310840,3,1,0.33960599,P_310840,1,0.31282028,1,0.31182821,P_310840,4,1,0.32351546,P_310840,2,0.22946784,2,0.24018213,P_758069,5,1,0.32064431,P_310840,2,0.26814629,3,0.22217618,P_657291,9,2,0.38955289,P_478231,2,0.39018549,3,0.29741588,P_657291,10,2,0.37746401,P_478231,2,0.36368312,3,0.27656878,P_657291,10,2,0.3362639,P_478231,3,0.27379313,3,0.24908043,P_657291,11,3,0.2906749,P_177996,3,0.22202987,3,0.22121082,P_657291
P_197341,W_21828,12,1;2;3;6;8;15;27;31;89;302;411;812,1,0.44873074464440216,P_38054,3,1,0.40011963,P_216737,1,0.40011963,1,0.42789741,P_216737,5,1,0.45984186,P_21828,1,0.44873074,1,0.49386963,P_21828,6,1,0.43492302,P_21828,1,0.42217651,1,0.50617122,P_21828,7,1,0.41860169,P_21828,1,0.3980346,1,0.49845517,P_21828,8,1,0.41253037,P_21828,1,0.38243289,1,0.51517645,P_21828,9,1,0.4044723,P_21828,1,0.35918097,1,0.55887335,P_21828,9,1,0.37116291,P_21828,1,0.31533026,1,0.55402177,P_21828,11,1,0.34896007,P_21828,1,0.25484505,1,0.50059243,P_21828
P_197402,W_21721,12,29;216;743;1282;1318;1393;1764;1933;1937;2470;2543;2635,29,0.007056852190167463,P_131929,0,29,0.00705685,P_131929,29,0.00705685,29,0.00705685,P_131929,0,29,0.00705685,P_131929,29,0.00705685,29,0.00705685,P_131929,0,29,0.00705685,P_82846,29,0.00705685,29,0.00705685,P_82846,1,12,0.01112773,P_82846,10,0.01251662,16,0.00939162,P_82846,1,17,0.00908525,P_82846,16,0.00939162,19,0.00856925,P_82846,1,34,0.00663427,P_82846,35,0.00656424,32,0.00678746,P_559804,1,48,0.0059194,P_82846,60,0.00557218,49,0.00588397,P_264967,2,96,0.00492077,P_240411,142,0.00463225,103,0.00506677,P_264967
P_197418,W_7257,12,367;1257;1268;1593;2311;2400;2961;3713;3758;4562;5186;7339,367,0.0022265110642752826,P_270172,0,367,0.00222651,P_775027,367,0.00222651,367,0.00222651,P_775027,0,367,0.00222651,P_191347,367,0.00222651,367,0.00222651,P_191347,0,367,0.00222651,P_191347,367,0.00222651,367,0.00222651,P_191347,0,367,0.00222651,P_191347,367,0.00222651,367,0.00222651,P_191347,0,367,0.00222651,P_191347,367,0.00222651,367,0.00222651,P_191347,0,367,0.00222651,P_191347,367,0.00222651,367,0.00222651,P_191347,0,367,0.00222651,P_692357,367,0.00222651,367,0.00222651,P_191347,1,177,0.00247025,P_692357,157,0.00253023,1,0.08533278,P_792504
P_197419,W_6441,12,292;418;442;458;639;758;2236;3124;3367;6892;8870;9717,292,0.004313420764188107,P_22954,0,292,0.00431342,P_21268,292,0.00431342,292,0.00431342,P_411853,0,292,0.00431342,P_21268,292,0.00431342,292,0.00431342,P_35190,0,292,0.00431342,P_21268,292,0.00431342,292,0.00431342,P_35190,0,292,0.00431342,P_21268,292,0.00431342,292,0.00431342,P_476309,0,292,0.00431342,P_52195,292,0.00431342,292,0.00431342,P_476309,0,292,0.00431342,P_52195,292,0.00431342,292,0.00431342,P_283015,0,292,0.00431342,P_52195,292,0.00431342,292,0.00431342,P_283015,4,1,0.33566923,P_681155,1,0.33566923,1,0.33566923,P_647480
P_197450,W_7818,12,14;36;39;110;1222;1262;1293;1456;2264;3574;4219;5740,14,0.022624684924636266,P_101442,0,14,0.02262468,P_292717,14,0.02262468,14,0.02262468,P_17840,0,14,0.02262468,P_333387,14,0.02262468,14,0.02262468,P_333387,1,2,0.05833897,P_333387,3,0.04445008,2,0.05833897,P_333387,1,2,0.05833897,P_333387,3,0.04445008,3,0.04445008,P_45054,3,1,0.12990142,P_515625,1,0.13144941,3,0.06326759,P_45054,3,1,0.12012822,P_515625,1,0.11715203,3,0.05729908,P_45054,4,1,0.11735079,P_515625,1,0.11132077,3,0.04945926,P_45054,4,3,0.04655911,P_160536,6,0.02513453,5,0.02960134,P_160536
P_197456,W_121182,12,15;165;166;195;539;605;757;964;1294;1833;2434;6085,15,0.014417887662128969,P_475545,0,15,0.01441789,P_7257,15,0.01441789,15,0.01441789,P_119303,0,15,0.01441789,P_7257,15,0.01441789,15,0.01441789,P_119303,1,2,0.050529,P_166597,2,0.050529,1,0.09219567,P_426150,1,2,0.050529,P_166597,2,0.050529,1,0.09219567,P_426150,1,2,0.050529,P_166597,2,0.050529,1,0.09219567,P_426150,1,2,0.050529,P_166597,3,0.03664011,1,0.09219567,P_426150,4,1,0.23802288,P_180632,1,0.22606538,1,0.25885621,P_180632,4,1,0.22323025,P_180632,1,0.19396831,1,0.25662093,P_180632
P_19748,W_19748,12,518;544;736;1054;1375;2580;3230;4771;5640;6410;7115;7724,518,0.0024616238891805443,P_517595,0,518,0.00246162,P_363942,518,0.00246162,518,0.00246162,P_517595,0,518,0.00246162,P_40766,518,0.00246162,518,0.00246162,P_517595,0,518,0.00246162,P_40766,518,0.00246162,518,0.00246162,P_517595,0,518,0.00246162,P_62792,518,0.00246162,518,0.00246162,P_62792,0,518,0.00246162,P_355166,518,0.00246162,518,0.00246162,P_62792,0,518,0.00246162,P_355166,518,0.00246162,518,0.00246162,P_62792,0,518,0.00246162,P_355166,518,0.00246162,518,0.00246162,P_62792,0,518,0.00246162,P_357764,518,0.00246162,518,0.00246162,P_62792
P_19749,W_4694,12,989;1056;2578;3158;5092;5266;6385;7076;7738;7782;9225;9346,989,0.0012173407928900157,P_668134,0,989,0.00121734,P_453810,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_453810,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_453810,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_479582,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_479582,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_479582,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_453810,989,0.00121734,989,0.00121734,P_453810,0,989,0.00121734,P_479582,989,0.00121734,989,0.00121734,P_453810
P_197511,W_9092,12,9;13;19;46;65;310;323;324;526;870;893;981,9,0.05880038232267287,P_56828,0,9,0.05880038,P_56828,9,0.05880038,9,0.05880038,P_751036,1,1,0.13287446,P_50773,1,0.13287446,1,0.13287446,P_50773,3,1,0.23189605,P_14958,1,0.25272938,1,0.22594367,P_14958,3,1,0.23189605,P_14958,1,0.24022938,1,0.23189605,P_14958,4,1,0.33298301,P_14958,1,0.31393539,1,0.29964967,P_14958,5,1,0.39532275,P_14958,1,0.3811182,1,0.37300132,P_14958,5,1,0.3811182,P_14958,1,0.36638756,1,0.36516924,P_14958,8,1,0.61950895,P_14958,1,0.6016518,1,0.61157244,P_14958
P_197559,W_9006,12,1;3;5;433;506;529;866;1908;2081;2612;2872;4966,1,0.19365033132761802,P_168058,3,1,0.25476144,P_99596,1,0.25476144,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.25476144,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.25476144,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.25476144,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.25476144,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.23392811,1,0.25476144,P_168058,3,1,0.25476144,P_99596,1,0.185317,1,0.25476144,P_168058,4,1,0.2369897,P_99596,1,0.17030262,1,0.26440829,P_168058
P_197562,W_7762,12,589;708;766;1157;1336;1431;2897;3220;3437;3883;4386;6634,589,0.0028536003273313226,P_125330,0,589,0.0028536,P_249505,589,0.0028536,589,0.0028536,P_125330,0,589,0.0028536,P_46400,589,0.0028536,589,0.0028536,P_125330,0,589,0.0028536,P_546359,589,0.0028536,589,0.0028536,P_125330,0,589,0.0028536,P_546359,589,0.0028536,589,0.0028536,P_125330,0,589,0.0028536,P_546359,589,0.0028536,589,0.0028536,P_125330,0,589,0.0028536,P_556619,589,0.0028536,589,0.0028536,P_556619,0,589,0.0028536,P_57236,589,0.0028536,589,0.0028536,P_556619,0,589,0.0028536,P_57236,589,0.0028536,589,0.0028536,P_556619
P_197563,W_92417,12,499;970;1096;1255;1497;1676;2876;3988;4224;4723;6944;12750,499,0.0023436265551573647,P_425576,0,499,0.00234363,P_473031,499,0.00234363,499,0.00234363,P_473031,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_473031,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_473031,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_473031,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_473031,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_404645,0,499,0.00234363,P_1455,499,0.00234363,499,0.00234363,P_404645,1,294,0.00246007,P_43127,272,0.002483,445,0.00236389,P_404645
P_197625,W_39785,12,4;6;7;900;926;961;2757;2955;3333;3411;3772;6236,4,0.0869759195904946,P_168189,1,1,0.14947592,P_718879,1,0.14947592,1,0.14947592,P_718879,3,1,0.25265052,P_662217,1,0.23181719,1,0.25265052,P_662217,3,1,0.25265052,P_662217,1,0.23181719,1,0.25265052,P_662217,3,1,0.23181719,P_662217,1,0.23181719,1,0.25265052,P_662217,3,1,0.23181719,P_662217,1,0.23181719,1,0.25265052,P_662217,3,1,0.21098386,P_662217,1,0.21098386,1,0.25265052,P_662217,3,1,0.21098386,P_662217,1,0.19709497,1,0.25265052,P_662217,3,1,0.20503148,P_662217,1,0.18717433,1,0.23181719,P_662217
P_197651,W_69943,12,110;125;195;207;222;251;305;733;859;2462;3406;4109,110,0.013398335292896075,P_116022,0,110,0.01339834,P_649827,110,0.01339834,110,0.01339834,P_720494,0,110,0.01339834,P_649827,110,0.01339834,110,0.01339834,P_720494,0,110,0.01339834,P_415294,110,0.01339834,110,0.01339834,P_711108,0,110,0.01339834,P_415294,110,0.01339834,110,0.01339834,P_711108,0,110,0.01339834,P_415294,110,0.01339834,110,0.01339834,P_711108,0,110,0.01339834,P_415294,110,0.01339834,110,0.01339834,P_711108,3,63,0.01398856,P_58783,61,0.01407619,58,0.01452052,P_711108,7,122,0.00931381,P_58783,137,0.0092084,98,0.01018236,P_711108
P_197654,W_19353,12,98;119;191;851;1058;1065;1949;2282;3065;4184;4952;6706,98,0.006184345740813251,P_132570,0,98,0.00618435,P_77714,98,0.00618435,98,0.00618435,P_77714,0,98,0.00618435,P_409883,98,0.00618435,98,0.00618435,P_77714,0,98,0.00618435,P_648086,98,0.00618435,98,0.00618435,P_77714,0,98,0.00618435,P_648086,98,0.00618435,98,0.00618435,P_648086,0,98,0.00618435,P_648086,98,0.00618435,98,0.00618435,P_648086,1,2,0.04700067,P_648086,1,0.08866734,1,0.08866734,P_314978,3,1,0.1831801,P_82967,1,0.19151343,1,0.25262454,P_82967,3,1,0.14498566,P_82967,1,0.14151343,1,0.25262454,P_82967
P_197710,W_80336,12,1;6;18;24;112;158;160;167;425;502;2163;2345,1,0.15768649903585127,P_395940,1,1,0.1576865,P_395940,1,0.1576865,1,0.1576865,P_395940,2,1,0.21324205,P_395940,1,0.21324205,1,0.21324205,P_395940,3,1,0.2826865,P_395940,1,0.2826865,1,0.2826865,P_395940,4,1,0.35213094,P_395940,1,0.35213094,1,0.35213094,P_395940,4,1,0.35213094,P_395940,1,0.35213094,1,0.35213094,P_395940,4,1,0.33546428,P_395940,1,0.31641666,1,0.35213094,P_395940,8,1,0.41459243,P_395940,1,0.40021723,1,0.63889035,P_395940,9,1,0.39029445,P_395940,1,0.30594566,1,0.71605193,P_395940
P_197718,W_21013,12,5;7;9;46;109;122;419;1306;1793;1967;2972;5026,5,0.08667335389879081,P_297740,1,1,0.15334002,P_90418,1,0.15334002,1,0.15334002,P_90418,3,1,0.26841939,P_90418,1,0.26841939,1,0.26841939,P_532537,3,1,0.26841939,P_90418,1,0.26841939,1,0.26841939,P_532537,3,1,0.26841939,P_90418,1,0.26841939,1,0.26841939,P_532537,4,1,0.2471424,P_90418,1,0.2346424,1,0.26783968,P_532537,4,1,0.24384845,P_90418,1,0.21706273,1,0.26457437,P_532537,6,1,0.30353064,P_90418,1,0.28698218,1,0.422496,P_532537,7,1,0.27465319,P_90418,1,0.23350928,1,0.43825523,P_532537
P_197859,W_9262,12,17;363;473;679;889;1404;1674;2249;2275;3222;4202;4609,17,0.008873694155905712,P_38219,0,17,0.00887369,P_183720,17,0.00887369,17,0.00887369,P_183720,0,17,0.00887369,P_183720,17,0.00887369,17,0.00887369,P_183720,1,6,0.01786062,P_183720,4,0.02480507,5,0.0206384,P_183720,1,8,0.0143884,P_183720,6,0.01786062,7,0.0158765,P_183720,1,12,0.01091618,P_183720,11,0.01154749,9,0.01323099,P_183720,1,23,0.00759492,P_142804,23,0.00759492,16,0.00918007,P_183720,1,32,0.0065759,P_142804,37,0.00622399,23,0.00759492,P_183720,3,52,0.00810001,P_142804,50,0.00780554,41,0.0089954,P_183720
P_197898,W_29045,12,60;263;676;895;1179;1215;1315;1815;2376;2465;2629;4144,60,0.005584413443923914,P_72832,0,60,0.00558441,P_372694,60,0.00558441,60,0.00558441,P_270132,0,60,0.00558441,P_372694,60,0.00558441,60,0.00558441,P_270132,0,60,0.00558441,P_753207,60,0.00558441,60,0.00558441,P_270132,0,60,0.00558441,P_753207,60,0.00558441,60,0.00558441,P_270132,0,60,0.00558441,P_753207,60,0.00558441,60,0.00558441,P_270132,1,35,0.00657648,P_753207,33,0.00672078,1,0.08752886,P_287035,1,61,0.00556164,P_753207,64,0.00549761,1,0.08752886,P_287035,2,26,0.00802957,P_416537,21,0.00854017,1,0.1424507,P_287035
P_197900,W_119473,12,286;311;344;668;824;1387;1638;2030;2177;4044;5007;5017,286,0.004536690157358209,P_588199,0,286,0.00453669,P_734393,286,0.00453669,286,0.00453669,P_734393,0,286,0.00453669,P_734393,286,0.00453669,286,0.00453669,P_734393,0,286,0.00453669,P_579404,286,0.00453669,286,0.00453669,P_579404,0,286,0.00453669,P_579404,286,0.00453669,286,0.00453669,P_579404,0,286,0.00453669,P_579404,286,0.00453669,286,0.00453669,P_579404,0,286,0.00453669,P_579404,286,0.00453669,286,0.00453669,P_579404,0,286,0.00453669,P_579404,286,0.00453669,286,0.00453669,P_579404,3,195,0.00491295,P_579404,179,0.00504563,190,0.00473292,P_579404
P_197902,W_122815,12,46;109;137;180;248;303;385;563;739;1475;3242;4993,46,0.015109756641163543,P_86642,0,46,0.01510976,P_730109,46,0.01510976,46,0.01510976,P_730109,0,46,0.01510976,P_730109,46,0.01510976,46,0.01510976,P_730109,0,46,0.01510976,P_730109,46,0.01510976,46,0.01510976,P_137629,0,46,0.01510976,P_730109,46,0.01510976,46,0.01510976,P_137629,1,1,0.0966315,P_198079,1,0.0966315,1,0.0966315,P_198079,1,1,0.0966315,P_198079,1,0.0966315,1,0.0966315,P_198079,4,1,0.12808663,P_198079,1,0.15036792,1,0.17977888,P_198079,7,1,0.21397819,P_198079,1,0.21926855,1,0.37593831,P_198079
P_197904,W_122815,12,1;86;154;161;354;564;637;665;971;1559;2488;5017,1,0.09482158204348771,P_684160,1,1,0.09482158,P_684160,1,0.09482158,1,0.09482158,P_684160,1,1,0.09482158,P_684160,1,0.09482158,1,0.09482158,P_684160,1,1,0.09482158,P_684160,1,0.09482158,1,0.09482158,P_684160,1,1,0.09482158,P_684160,1,0.09482158,1,0.09482158,P_684160,1,1,0.09482158,P_684160,1,0.09482158,1,0.09482158,P_684160,2,1,0.09621693,P_684160,1,0.09705026,1,0.10330026,P_684160,4,1,0.11017825,P_684160,1,0.11906196,1,0.10976623,P_684160,5,1,0.10521423,P_684160,1,0.10245656,1,0.10761232,P_684160
P_19791,W_19789,12,18;32;89;168;185;241;338;713;721;775;826;6333,18,0.02500203410616964,P_271210,0,18,0.02500203,P_362255,18,0.02500203,18,0.02500203,P_362255,0,18,0.02500203,P_362255,18,0.02500203,18,0.02500203,P_362255,1,1,0.10370574,P_15435,1,0.10370574,1,0.10370574,P_15435,1,1,0.10370574,P_15435,1,0.10370574,1,0.10370574,P_15435,2,1,0.18183074,P_15435,1,0.18183074,1,0.18183074,P_15435,3,1,0.20174902,P_15435,1,0.21027175,1,0.19152175,P_15435,5,1,0.28592987,P_665384,1,0.29363354,1,0.27173881,P_15435,7,1,0.31330544,P_665384,1,0.32965501,1,0.30291485,P_15435
P_197917,W_122815,12,29;53;100;203;247;257;323;423;576;609;2198;2397,29,0.02067939870779246,P_564609,0,29,0.0206794,P_564609,29,0.0206794,29,0.0206794,P_564609,0,29,0.0206794,P_564609,29,0.0206794,29,0.0206794,P_564609,0,29,0.0206794,P_564609,29,0.0206794,29,0.0206794,P_564609,1,29,0.0206794,P_564609,29,0.0206794,29,0.0206794,P_564609,1,49,0.01950652,P_564609,49,0.01950652,48,0.01954195,P_564609,3,90,0.01741118,P_693292,92,0.01741011,86,0.01757113,P_552638,3,165,0.01494136,P_693292,174,0.01490139,152,0.01510049,P_183720,8,189,0.01125402,P_693292,183,0.01113665,106,0.01170992,P_183720
P_19792,W_19789,12,7;12;24;28;30;105;223;253;601;3869;4116;7171,7,0.07384222976833814,P_31914,0,7,0.07384223,P_391556,7,0.07384223,7,0.07384223,P_31914,1,1,0.1452708,P_665384,1,0.1452708,1,0.1452708,P_665384,2,1,0.17304858,P_665384,1,0.21471525,1,0.21471525,P_104683,5,1,0.25975493,P_665384,1,0.34744432,1,0.39725493,P_104683,5,1,0.25429858,P_665384,1,0.34113119,1,0.39725493,P_104683,5,1,0.2670651,P_665384,1,0.2545651,1,0.34239382,P_104683,6,1,0.25983543,P_665384,1,0.2608077,1,0.36193747,P_104683,8,1,0.26065233,P_665384,1,0.23002321,1,0.38885529,P_104683
P_197936,W_2901,12,206;1011;2322;3266;4083;4269;5319;5593;5784;6241;7127;13682,206,0.0016920516796507027,P_185506,0,206,0.00169205,P_18625,206,0.00169205,206,0.00169205,P_185506,0,206,0.00169205,P_438147,206,0.00169205,206,0.00169205,P_438147,0,206,0.00169205,P_438147,206,0.00169205,206,0.00169205,P_484238,0,206,0.00169205,P_366539,206,0.00169205,206,0.00169205,P_484238,0,206,0.00169205,P_366539,206,0.00169205,206,0.00169205,P_484238,0,206,0.00169205,P_366539,206,0.00169205,206,0.00169205,P_484238,0,206,0.00169205,P_366539,206,0.00169205,206,0.00169205,P_484238,1,6,0.01517641,P_366539,4,0.02212085,1,0.08462085,P_332739
P_197938,W_2901,12,1042;1226;2379;2497;2507;2671;3438;3445;4693;8101;11740;13507,1042,0.0015858808930847498,P_699625,0,1042,0.00158588,P_37978,1042,0.00158588,1042,0.00158588,P_61217,0,1042,0.00158588,P_640415,1042,0.00158588,1042,0.00158588,P_640415,0,1042,0.00158588,P_184626,1042,0.00158588,1042,0.00158588,P_184626,0,1042,0.00158588,P_184626,1042,0.00158588,1042,0.00158588,P_184626,0,1042,0.00158588,P_184626,1042,0.00158588,1042,0.00158588,P_184626,0,1042,0.00158588,P_542468,1042,0.00158588,1042,0.00158588,P_184626,0,1042,0.00158588,P_542468,1042,0.00158588,1042,0.00158588,P_542468,0,1042,0.00158588,P_542468,1042,0.00158588,1042,0.00158588,P_542468
P_197940,W_111854,12,98;142;224;234;282;365;989;1004;1342;1425;1466;3650,98,0.0107087777933509,P_170429,0,98,0.01070878,P_653068,98,0.01070878,98,0.01070878,P_653068,0,98,0.01070878,P_653068,98,0.01070878,98,0.01070878,P_653068,0,98,0.01070878,P_148754,98,0.01070878,98,0.01070878,P_653068,0,98,0.01070878,P_148754,98,0.01070878,98,0.01070878,P_653068,0,98,0.01070878,P_148754,98,0.01070878,98,0.01070878,P_653068,1,1,0.09319177,P_113702,1,0.09319177,1,0.09319177,P_113702,2,2,0.05142666,P_191123,2,0.05146251,1,0.09314419,P_113702,6,2,0.10810429,P_191123,2,0.10845344,1,0.24165459,P_113701
P_198000,W_11516,12,18;24;85;93;161;209;309;362;826;1193;2097;3828,18,0.029114121803195253,P_269896,0,18,0.02911412,P_189024,18,0.02911412,18,0.02911412,P_189024,0,18,0.02911412,P_189024,18,0.02911412,18,0.02911412,P_189024,1,1,0.10781783,P_56633,1,0.10781783,2,0.06615116,P_189024,2,1,0.12865116,P_56633,1,0.13420671,3,0.07865116,P_189024,2,1,0.12865116,P_56633,1,0.12865116,5,0.05504005,P_166999,4,2,0.07980486,P_772666,3,0.06599171,11,0.04173855,P_772666,5,4,0.05334765,P_772666,5,0.0471654,16,0.03487011,P_548377,8,1,0.13162884,P_652909,1,0.11507956,3,0.05596537,P_548377
P_198050,W_10851,12,7;77;85;86;253;392;451;456;670;1052;1394;1545,7,0.029780608119285498,P_190905,0,7,0.02978061,P_11823,7,0.02978061,7,0.02978061,P_190905,1,3,0.04565362,P_11823,3,0.04565362,4,0.03870918,P_190905,1,5,0.03454251,P_214467,5,0.03454251,8,0.02829251,P_214467,1,7,0.02978061,P_214467,8,0.02829251,11,0.0254516,P_214467,1,10,0.02620918,P_214467,12,0.02482029,19,0.02226181,P_103473,4,15,0.02438514,P_214467,22,0.0229731,1,0.12360312,P_145673,4,28,0.01738687,P_214467,52,0.01600545,1,0.11304986,P_145673,8,28,0.01733628,P_292916,21,0.01739292,1,0.2148816,P_145673
P_198052,W_10851,12,60;276;434;444;472;624;800;863;1251;1337;1695;4131,60,0.008510942132014252,P_774238,0,60,0.00851094,P_413195,60,0.00851094,60,0.00851094,P_413195,0,60,0.00851094,P_525200,60,0.00851094,60,0.00851094,P_84384,0,60,0.00851094,P_408973,60,0.00851094,60,0.00851094,P_408973,0,60,0.00851094,P_408973,60,0.00851094,60,0.00851094,P_408973,0,60,0.00851094,P_408973,60,0.00851094,60,0.00851094,P_408973,1,69,0.00832978,P_408973,67,0.00836583,40,0.00920539,P_408973,1,142,0.00770891,P_408973,145,0.00769677,79,0.00817691,P_408973,5,64,0.00972354,P_408973,47,0.01037462,44,0.01258608,P_548893
P_198053,W_10851,12,126;172;401;449;520;594;1107;1360;1744;1956;2219;2957,126,0.007263743478757363,P_649791,0,126,0.00726374,P_649791,126,0.00726374,126,0.00726374,P_179022,0,126,0.00726374,P_649791,126,0.00726374,126,0.00726374,P_179022,0,126,0.00726374,P_649791,126,0.00726374,126,0.00726374,P_179022,0,126,0.00726374,P_8339,126,0.00726374,126,0.00726374,P_179022,0,126,0.00726374,P_245555,126,0.00726374,126,0.00726374,P_222678,0,126,0.00726374,P_245555,126,0.00726374,126,0.00726374,P_222678,2,103,0.00728846,P_245555,95,0.00735659,29,0.00938877,P_222678,4,161,0.00709597,P_245555,138,0.00717505,44,0.00907208,P_222678
P_198054,W_69914,12,1;29;84;169;1061;2197;3085;7431;7536;7791;7911;9158,1,0.09535968229818555,P_69914,1,1,0.09535968,P_69914,1,0.09535968,1,0.09535968,P_69914,1,1,0.09535968,P_69914,1,0.09535968,1,0.09535968,P_69914,1,1,0.09535968,P_69914,1,0.09535968,1,0.09535968,P_69914,2,1,0.10813107,P_69914,1,0.11342208,1,0.10627922,P_69914,2,1,0.10072367,P_69914,1,0.10243307,1,0.10243307,P_69914,3,1,0.18038637,P_69914,1,0.18083926,1,0.18312759,P_69914,4,1,0.17745847,P_69914,1,0.17716439,1,0.17957139,P_69914,4,1,0.17268726,P_69914,1,0.17145737,1,0.17245717,P_69914
P_198055,W_10851,12,102;138;198;326;427;432;586;638;760;917;1689;1801,102,0.011477010193144831,P_225991,0,102,0.01147701,P_83895,102,0.01147701,102,0.01147701,P_83895,0,102,0.01147701,P_83895,102,0.01147701,102,0.01147701,P_83895,0,102,0.01147701,P_150247,102,0.01147701,102,0.01147701,P_150247,0,102,0.01147701,P_649827,102,0.01147701,102,0.01147701,P_588199,0,102,0.01147701,P_649827,102,0.01147701,102,0.01147701,P_588199,0,102,0.01147701,P_768496,102,0.01147701,102,0.01147701,P_768496,3,56,0.01335741,P_129396,56,0.0138642,17,0.01629203,P_116320,6,137,0.00991616,P_129396,156,0.00986584,45,0.01092581,P_524806
P_198058,W_10851,12,104;253;405;514;556;1363;1810;2163;2270;2308;2382;4464,104,0.0057728762647158,P_731365,0,104,0.00577288,P_525039,104,0.00577288,104,0.00577288,P_525039,0,104,0.00577288,P_525039,104,0.00577288,104,0.00577288,P_525039,0,104,0.00577288,P_398905,104,0.00577288,104,0.00577288,P_398905,0,104,0.00577288,P_398905,104,0.00577288,104,0.00577288,P_398905,0,104,0.00577288,P_398905,104,0.00577288,104,0.00577288,P_398905,0,104,0.00577288,P_398905,104,0.00577288,104,0.00577288,P_398905,1,153,0.00551626,P_398905,150,0.00552715,161,0.00548919,P_398905,3,306,0.00516751,P_398905,300,0.00516374,264,0.00527678,P_275596
P_198060,W_10851,12,72;115;318;357;486;516;737;1031;1052;1060;1319;1597,72,0.010411238932123387,P_689209,0,72,0.01041124,P_268361,72,0.01041124,72,0.01041124,P_268361,0,72,0.01041124,P_343346,72,0.01041124,72,0.01041124,P_343346,0,72,0.01041124,P_343346,72,0.01041124,72,0.01041124,P_343346,0,72,0.01041124,P_343346,72,0.01041124,72,0.01041124,P_343346,0,72,0.01041124,P_343346,72,0.01041124,72,0.01041124,P_343346,1,99,0.01009558,P_343346,99,0.01009558,99,0.01009558,P_343346,2,7,0.02055534,P_343346,4,0.02948391,7,0.02055107,P_343346,5,11,0.01592224,P_343346,13,0.01485649,8,0.01863873,P_343346
P_198062,W_102577,12,304;1017;1378;1612;1846;1974;2107;2601;2731;4042;4667;6786,304,0.0026629509825015873,P_729302,0,304,0.00266295,P_729302,304,0.00266295,304,0.00266295,P_729302,0,304,0.00266295,P_132052,304,0.00266295,304,0.00266295,P_132052,0,304,0.00266295,P_132052,304,0.00266295,304,0.00266295,P_132052,0,304,0.00266295,P_132052,304,0.00266295,304,0.00266295,P_132052,0,304,0.00266295,P_685650,304,0.00266295,304,0.00266295,P_132052,0,304,0.00266295,P_611403,304,0.00266295,304,0.00266295,P_132052,0,304,0.00266295,P_437840,304,0.00266295,304,0.00266295,P_132052,1,42,0.00437296,P_437840,34,0.00483981,24,0.00586105,P_132052
