query_pid,query_wid,fold,p_no_cover_oof,y_no_cover
P_225775,W_12968,4,0.436725,0
P_22581,W_22581,3,0.056894,0
P_22585,W_22581,3,0.230534,0
P_225875,W_7762,4,0.659908,0
P_225943,W_39785,4,0.597274,0
P_225946,W_4696,4,0.633626,1
P_225951,W_12137,0,0.772946,0
P_225957,W_92616,2,0.563708,1
P_225959,W_18505,1,0.566687,0
P_225991,W_5438,3,0.750969,1
P_226,W_226,3,0.049492,0
P_226016,W_28493,4,0.720911,0
P_226028,W_13687,3,0.720709,1
P_226035,W_5233,4,0.706702,1
P_226036,W_65381,2,0.527279,1
P_226039,W_10850,3,0.495735,0
P_226042,W_1939,1,0.723531,1
P_226046,W_22154,4,0.52341,1
P_226051,W_101001,4,0.541981,1
P_226065,W_7580,4,0.625887,1
P_226089,W_68897,1,0.172523,0
P_226141,W_113615,4,0.166934,0
P_226149,W_118849,3,0.265382,0
P_226156,W_10313,0,0.741988,1
P_226375,W_11006,2,0.77805,1
P_226403,W_62475,2,0.134035,0
P_226451,W_9576,4,0.494487,1
P_226468,W_122709,2,0.337263,0
P_226609,W_74245,4,0.472516,1
P_22661,W_20036,0,0.708774,1
P_226710,W_25150,2,0.6812,1
P_226969,W_11552,4,0.566813,1
P_226997,W_5440,3,0.703081,1
P_227053,W_114947,1,0.607308,0
P_2271,W_2271,1,0.119682,0
P_227182,W_52660,4,0.165093,1
P_227244,W_2271,1,0.166323,0
P_227447,W_32058,1,0.43018,0
P_227449,W_32062,0,0.125492,0
P_22760,W_22451,3,0.68612,1
P_227762,W_45675,2,0.593072,1
P_227799,W_29487,4,0.794417,0
P_228003,W_3170,4,0.269897,1
P_228033,W_3057,0,0.216091,0
P_228050,W_3997,3,0.140075,0
P_2283,W_2271,1,0.105317,0
P_22839,W_3061,1,0.340355,0
P_228633,W_6485,3,0.566642,1
P_228808,W_87758,0,0.338244,1
P_228881,W_52177,2,0.785759,0
P_228942,W_4826,3,0.615717,0
P_228945,W_114742,2,0.726034,0
P_228963,W_4700,1,0.782202,1
P_228984,W_42488,0,0.82787,1
P_22908,W_14379,0,0.076584,0
P_229095,W_11898,0,0.43659,0
P_229140,W_9271,2,0.48583,1
P_229229,W_1362,1,0.266895,0
P_22925,W_13540,3,0.615437,0
P_22927,W_22926,4,0.734513,0
P_22937,W_22936,0,0.669384,0
P_22944,W_19417,4,0.73124,1
P_229457,W_4779,2,0.466431,0
P_22946,W_22945,0,0.615023,0
P_22947,W_4814,4,0.805924,0
P_22952,W_4829,4,0.78912,1
P_22954,W_4806,4,0.61664,0
P_22955,W_3099,2,0.57511,1
P_229554,W_99751,2,0.323502,0
P_22962,W_22961,4,0.549728,0
P_22963,W_5915,0,0.457345,0
P_229672,W_68897,1,0.374403,1
P_22971,W_10577,3,0.655709,1
P_22974,W_12137,0,0.781413,1
P_229916,W_32062,0,0.257451,0
P_23,W_22,0,0.724077,0
P_230025,W_28094,0,0.444834,0
P_230101,W_14861,0,0.432585,0
P_230107,W_59319,4,0.630848,1
P_230110,W_22926,4,0.760061,1
P_23018,W_3997,3,0.190135,0
P_2302,W_2301,3,0.558659,0
P_230230,W_3077,4,0.672659,0
P_230280,W_175,2,0.241562,1
P_230405,W_40251,0,0.187656,0
P_230601,W_10902,1,0.51354,0
P_230610,W_116565,3,0.457947,1
P_230739,W_11474,2,0.770689,1
P_230985,W_4820,4,0.802651,1
P_231038,W_5655,3,0.695969,1
P_23107,W_117403,2,0.549376,0
P_231076,W_22286,0,0.038377,0
P_23111,W_10745,1,0.569798,0
P_23115,W_9286,2,0.584276,1
P_23117,W_23116,0,0.560164,0
P_23120,W_14501,0,0.521521,1
P_23127,W_161,2,0.211343,1
P_231334,W_52963,2,0.441582,1
P_23142,W_23142,1,0.289211,0
P_23153,W_94,3,0.214808,0
P_23154,W_1894,0,0.064356,0
P_23155,W_2658,1,0.34537,1
P_231574,W_117791,2,0.704536,1
P_231628,W_19748,1,0.710276,1
P_23165,W_23165,2,0.212039,0
P_2317,W_2301,3,0.580006,1
P_231781,W_23142,1,0.329134,1
P_231881,W_22945,0,0.69155,1
P_231916,W_55442,0,0.23816,0
P_231950,W_30552,2,0.388538,0
P_231958,W_10849,2,0.382624,0
P_232100,W_121182,0,0.638793,1
P_232148,W_10576,2,0.749145,1
P_232311,W_9263,3,0.652628,0
P_232312,W_70931,1,0.76479,0
P_23239,W_23239,4,0.683424,0
P_232531,W_42117,0,0.325546,1
P_232565,W_25511,4,0.694867,0
P_232585,W_17053,4,0.045994,0
P_232596,W_3174,2,0.345658,0
P_232720,W_3964,1,0.226183,1
P_232786,W_5233,4,0.589726,0
P_232788,W_1939,1,0.63338,1
P_232973,W_26542,4,0.743216,1
P_232992,W_7580,4,0.723664,1
P_233,W_233,4,0.249084,0
P_233011,W_114712,0,0.554447,1
P_233140,W_7580,4,0.601289,0
P_233192,W_19985,2,0.485442,0
P_233399,W_127392,1,0.681058,1
P_233405,W_127392,1,0.457578,0
P_233418,W_2145,0,0.715303,1
P_233428,W_32202,2,0.157047,0
P_233464,W_4810,1,0.509738,0
P_233537,W_5294,1,0.817974,0
P_233597,W_116565,3,0.742126,0
P_233671,W_24522,3,0.676616,1
P_233725,W_10914,1,0.679094,1
P_233845,W_10838,2,0.598178,0
P_234,W_233,4,0.234738,0
P_234166,W_704,3,0.574647,0
P_234293,W_12255,4,0.660038,1
P_234299,W_4837,4,0.450341,0
P_234319,W_21013,2,0.148347,1
P_23441,W_3497,1,0.620464,0
P_23452,W_3497,1,0.560371,1
P_23453,W_76174,2,0.735223,1
P_23455,W_8850,2,0.51928,0
P_234634,W_5118,4,0.458424,0
P_234649,W_9290,4,0.664468,1
P_234650,W_9290,4,0.621509,0
P_23483,W_10603,4,0.519071,1
P_23485,W_10603,4,0.629882,1
P_234850,W_13693,4,0.657049,1
P_23489,W_10603,4,0.520736,0
P_234951,W_7578,1,0.41068,1
P_234979,W_11833,1,0.822684,0
P_234980,W_19945,4,0.686526,1
P_234995,W_127547,3,0.866289,1
P_234996,W_127547,3,0.785226,0
P_235026,W_127547,3,0.796026,1
P_235027,W_127547,3,0.736906,1
P_235028,W_127547,3,0.726496,1
P_235045,W_127547,3,0.829476,1
P_235091,W_97460,2,0.457028,1
P_23515,W_6549,2,0.144846,0
P_23516,W_6102,0,0.413457,0
P_235183,W_119158,1,0.537311,0
P_23521,W_1456,1,0.094671,0
P_23526,W_23525,3,0.109991,0
P_2354,W_2301,3,0.13701,0
P_23544,W_23544,1,0.269188,0
P_235598,W_64652,1,0.692228,1
P_235612,W_4696,4,0.745483,0
P_235613,W_5655,3,0.639699,1
P_23563,W_642,3,0.053952,0
P_235635,W_20084,4,0.444128,1
P_235707,W_546,1,0.34089,0
P_235738,W_299,1,0.377181,0
P_23575,W_1033,0,0.1533,0
P_23586,W_4887,1,0.749553,0
P_23587,W_23116,0,0.619516,0
P_23588,W_4812,1,0.738435,0
P_23589,W_9263,3,0.54511,0
P_235957,W_20414,1,0.76245,0
P_236088,W_64395,4,0.625284,1
P_23623,W_7261,3,0.358642,1
P_23627,W_23627,1,0.352589,0
P_23628,W_23627,1,0.746066,1
P_236429,W_42311,0,0.687574,1
P_236534,W_9131,0,0.671628,1
P_236541,W_111656,0,0.715857,1
P_236599,W_11358,1,0.425814,0
P_236627,W_4867,0,0.706105,1
P_236628,W_4826,3,0.541082,0
P_236984,W_27919,1,0.780321,1
P_237127,W_21828,3,0.179623,1
P_23725,W_1055,2,0.201005,0
P_23737,W_1308,0,0.294035,0
P_23738,W_5102,0,0.545087,0
P_237423,W_20769,4,0.667027,1
P_237450,W_7578,1,0.609769,1
P_237457,W_20710,2,0.690917,1
P_23767,W_23767,0,0.484047,1
P_23772,W_23772,3,0.540767,1
P_237724,W_9266,1,0.684587,0
P_23776,W_7550,2,0.507205,1
P_237976,W_51980,1,0.608621,0
P_237977,W_4806,4,0.55338,1
P_237978,W_7577,0,0.631923,1
P_238008,W_31383,2,0.167443,0
P_238013,W_2393,1,0.241875,0
P_238296,W_299,1,0.408476,0
P_238441,W_19945,4,0.778684,1
P_238442,W_27911,0,0.098809,1
P_23846,W_5231,0,0.355426,0
P_238461,W_4806,4,0.737124,1
P_238540,W_87469,0,0.337557,0
P_238613,W_11484,3,0.815325,0
P_238705,W_13208,1,0.295099,0
P_238818,W_8203,4,0.547614,1
P_238887,W_119680,1,0.302621,0
P_238955,W_27913,2,0.724779,1
P_23907,W_841,1,0.286209,0
P_23912,W_21528,1,0.700407,1
P_23915,W_3092,1,0.14314,0
P_23917,W_10581,3,0.485577,0
P_23923,W_9128,2,0.096351,0
P_23924,W_1812,4,0.274403,0
P_23926,W_6715,2,0.507447,0
P_2393,W_2393,1,0.302041,0
P_23941,W_9719,0,0.619386,0
P_239452,W_34604,1,0.646848,1
P_23947,W_1443,0,0.137334,0
P_23948,W_9507,1,0.497709,0
P_23952,W_1443,0,0.201948,0
P_23955,W_1443,0,0.15196,0
P_239555,W_76574,3,0.686299,1
P_239573,W_40419,2,0.490252,1
P_239812,W_3266,0,0.583867,0
P_239901,W_17274,1,0.757129,1
P_239993,W_64648,2,0.763672,0
P_240006,W_3266,0,0.502026,0
P_240007,W_3266,0,0.484464,0
P_240197,W_4541,3,0.629608,0
P_240211,W_92417,1,0.441399,0
P_240389,W_10906,4,0.829778,1
P_240411,W_116565,3,0.85199,1
P_240468,W_52227,4,0.30427,0
P_240472,W_27328,1,0.328172,1
P_240548,W_3266,0,0.384934,1
P_240706,W_31091,0,0.840602,1
P_240801,W_121504,2,0.335192,0
P_240803,W_373,0,0.278202,0
P_240804,W_867,3,0.064213,0
P_240805,W_11485,4,0.028092,0
P_240811,W_7552,2,0.223804,0
P_240822,W_114947,1,0.388996,0
P_240926,W_13691,1,0.379239,1
P_241027,W_15300,2,0.475157,1
P_241193,W_546,1,0.382189,0
P_24143,W_6437,3,0.193727,0
P_241664,W_27919,1,0.737779,0
P_241665,W_114810,0,0.677929,1
P_241687,W_16560,3,0.122867,0
P_241818,W_4541,3,0.43108,0
P_241858,W_5440,3,0.7499,1
P_241920,W_3744,2,0.181619,0
P_242063,W_2970,1,0.131252,0
P_242082,W_128680,1,0.329585,0
P_242110,W_10216,1,0.748442,0
P_242120,W_128680,1,0.755048,0
P_242128,W_128680,1,0.381535,0
P_242171,W_116516,4,0.256865,1
P_24222,W_24222,4,0.121526,0
P_24223,W_24222,4,0.1067,0
P_242360,W_4751,3,0.826775,1
P_242464,W_7776,3,0.078009,0
P_242507,W_6485,3,0.225607,1
P_242510,W_89492,2,0.660918,0
P_242572,W_115728,4,0.607845,1
P_242615,W_20122,4,0.651983,1
P_242624,W_23772,3,0.522852,0
P_242636,W_4814,4,0.658404,1
P_2427,W_2427,4,0.229412,0
P_242723,W_5534,4,0.170633,0
P_242734,W_5534,4,0.191109,0
P_242735,W_125863,1,0.501563,0
P_242753,W_51795,4,0.481696,1
P_24280,W_8535,4,0.711725,0
P_242805,W_52963,2,0.584149,1
P_24282,W_8535,4,0.634399,1
P_242823,W_5534,4,0.129288,0
P_242828,W_5534,4,0.2732,0
P_24285,W_8535,4,0.722459,1
P_242880,W_43088,2,0.023576,0
P_243043,W_10528,3,0.52854,0
P_243047,W_19903,3,0.11402,0
P_243049,W_10253,3,0.391899,0
P_243075,W_706,0,0.759908,0
P_243103,W_128680,1,0.735106,1
P_243134,W_128680,1,0.631676,1
P_243323,W_128680,1,0.72779,0
P_243329,W_128680,1,0.677761,1
P_243332,W_128680,1,0.761571,0
P_243417,W_32058,1,0.206795,0
P_243541,W_2407,2,0.077028,1
P_243558,W_16560,3,0.155983,1
P_243599,W_3170,4,0.298725,0
P_243608,W_9576,4,0.755783,1
P_243612,W_13875,4,0.525948,1
P_243615,W_61921,0,0.621883,1
P_243672,W_31360,2,0.770726,1
P_243693,W_74245,4,0.702285,1
P_243786,W_39783,4,0.560365,1
P_243814,W_16560,3,0.142656,0
P_243850,W_15223,3,0.552494,1
P_243960,W_13687,3,0.665324,1
P_243961,W_40671,4,0.740547,1
P_243963,W_56239,3,0.659493,1
P_243964,W_4696,4,0.656411,1
P_243965,W_10577,3,0.50106,1
P_243966,W_65609,2,0.751144,0
P_243969,W_18505,1,0.434165,0
P_243996,W_41946,2,0.573652,1
P_244158,W_13687,3,0.64583,1
P_244159,W_123591,0,0.776252,1
P_244160,W_2968,4,0.637054,1
P_244163,W_40702,2,0.368631,0
P_244168,W_20162,3,0.536771,1
P_244177,W_115707,2,0.672513,0
P_244193,W_114810,0,0.736113,1
P_24428,W_8213,1,0.454772,0
P_244448,W_10603,4,0.726287,0
P_244467,W_29060,0,0.225774,1
P_24449,W_5071,4,0.230017,0
P_24451,W_4354,3,0.561645,1
P_24454,W_10253,3,0.444514,0
P_24455,W_3744,2,0.330471,0
P_244633,W_2393,1,0.113599,0
P_244649,W_383,3,0.298893,0
P_244666,W_4158,0,0.236602,1
P_244712,W_101001,4,0.572314,1
P_24473,W_24473,2,0.110862,0
P_24474,W_24473,2,0.242694,0
P_24475,W_24473,2,0.081625,0
P_24477,W_24473,2,0.528429,0
P_24479,W_24473,2,0.346266,0
P_244912,W_3964,1,0.432447,0
P_24499,W_24473,2,0.154472,0
P_24507,W_24473,2,0.478561,0
P_245161,W_10528,3,0.370774,0
P_24523,W_24522,3,0.580985,1
P_24527,W_24473,2,0.13862,0
P_245361,W_841,1,0.638513,0
P_2454,W_2454,3,0.430754,0
P_2455,W_2454,3,0.363138,0
P_245502,W_25000,4,0.026323,0
P_245544,W_129296,1,0.528738,0
P_245555,W_129296,1,0.710694,1
P_245559,W_129296,1,0.716148,1
P_245627,W_129296,1,0.822171,1
P_24565,W_9508,3,0.29882,0
P_245675,W_101001,4,0.726419,1
P_24570,W_10790,1,0.321729,0
P_24571,W_3074,2,0.290925,1
P_245847,W_129296,1,0.873269,1
P_245884,W_13873,4,0.628474,0
P_245886,W_124745,0,0.765581,0
P_245887,W_129296,1,0.665094,1
P_245935,W_129296,1,0.843903,1
P_245936,W_129296,1,0.633914,1
P_245937,W_129296,1,0.551527,0
P_246,W_246,1,0.163555,0
P_246061,W_4694,4,0.648264,0
P_246118,W_1305,2,0.23544,1
P_246183,W_17671,0,0.139535,1
P_246224,W_16560,3,0.111005,0
P_246511,W_34568,3,0.591764,1
P_246657,W_43997,4,0.65577,1
P_246773,W_123334,2,0.616972,1
P_246856,W_10129,1,0.065403,0
P_247037,W_129436,1,0.446529,1
P_247039,W_117791,2,0.551302,0
P_247169,W_1153,3,0.094259,0
P_247188,W_3063,0,0.556782,1
P_247195,W_64513,2,0.435133,0
P_247196,W_64648,2,0.798648,0
P_247381,W_86795,4,0.634479,0
P_24739,W_5363,4,0.600473,0
P_24743,W_4751,3,0.176404,0
P_24747,W_14662,4,0.240595,1
P_2475,W_2474,1,0.380356,1
P_247572,W_2427,4,0.204055,0
P_24758,W_12460,1,0.236957,0
P_247584,W_26,3,0.293639,0
P_24761,W_12460,1,0.192875,0
P_24763,W_12460,1,0.398365,0
P_247876,W_3145,2,0.314336,0
P_24788,W_12460,1,0.332151,0
P_248074,W_2970,1,0.516395,1
P_248075,W_3447,4,0.329587,0
P_248083,W_9103,1,0.179575,0
P_248084,W_10685,2,0.83796,1
P_248151,W_6715,2,0.478661,1
P_248154,W_6437,3,0.314843,0
P_248158,W_9133,4,0.0143,0
P_248165,W_9508,3,0.3311,0
P_248428,W_23770,4,0.711111,1
P_248491,W_9271,2,0.783747,0
P_248516,W_22556,4,0.135972,0
P_248559,W_856,2,0.112603,0
P_248628,W_111906,1,0.75131,1
P_248629,W_4916,0,0.679692,1
P_248648,W_13691,1,0.445472,1
P_248649,W_13691,1,0.619723,0
P_248747,W_29060,0,0.5041,1
P_248783,W_39520,2,0.15751,0
P_248785,W_3414,4,0.299397,1
P_24879,W_1454,0,0.216642,0
P_248800,W_10781,0,0.550719,1
P_24884,W_48,0,0.37464,0
P_24885,W_10788,1,0.618558,1
P_248852,W_55861,0,0.411446,0
P_24892,W_5954,3,0.315892,0
P_249041,W_22936,0,0.699423,1
P_249046,W_22936,0,0.486133,1
P_249067,W_97414,3,0.572884,0
P_249151,W_115054,1,0.117022,0
P_249154,W_4646,3,0.71738,0
P_249294,W_57375,3,0.468807,1
P_249300,W_40924,0,0.429748,0
P_24932,W_2085,3,0.044318,0
P_24938,W_3077,4,0.638851,1
P_249462,W_65049,3,0.820927,1
P_249468,W_15223,3,0.454991,0
P_249483,W_5655,3,0.493985,1
P_249505,W_35395,2,0.762276,1
P_249506,W_27641,3,0.508086,0
P_249509,W_42453,1,0.629738,1
P_249510,W_36064,4,0.613902,1
P_249511,W_3245,3,0.644764,0
P_24962,W_677,0,0.577725,1
P_24963,W_2081,0,0.332079,1
P_2497,W_1002,3,0.456569,1
P_24984,W_1409,4,0.103283,0
P_249858,W_20162,3,0.656962,0
P_249861,W_4694,4,0.674308,0
P_249933,W_10154,4,0.405607,1
P_249934,W_40419,2,0.412064,1
P_25002,W_25000,4,0.025079,0
P_25003,W_25000,4,0.011206,0
P_25005,W_25000,4,0.318051,0
P_25007,W_7550,2,0.272017,0
P_25010,W_25000,4,0.016987,0
P_25030,W_25030,1,0.132789,0
P_25031,W_25030,1,0.163871,0
P_25033,W_2930,3,0.164157,0
P_25043,W_4775,3,0.373196,0
P_250480,W_114408,2,0.80487,1
P_250538,W_961,0,0.174367,1
P_250642,W_3995,4,0.108285,0
P_25070,W_679,2,0.234605,0
P_250708,W_17671,0,0.166089,1
P_250722,W_4702,2,0.691082,0
P_250728,W_70931,1,0.794859,1
P_250746,W_42453,1,0.471756,0
P_25075,W_25030,1,0.07671,0
P_250764,W_546,1,0.427374,0
P_25077,W_14969,1,0.420843,0
P_250781,W_20036,0,0.818938,1
P_250818,W_5930,0,0.313716,0
P_250827,W_20097,3,0.056711,0
P_250830,W_76574,3,0.779178,1
P_250853,W_11473,3,0.590303,1
P_250856,W_40971,2,0.41311,1
P_250998,W_3099,2,0.699353,1
P_251004,W_115707,2,0.74178,1
P_25101,W_9133,4,0.02357,0
P_25102,W_25030,1,0.307366,0
P_25107,W_13440,2,0.218689,0
P_251088,W_12968,4,0.455365,0
P_25110,W_3174,2,0.307799,1
P_251106,W_4801,4,0.782356,1
P_251116,W_5233,4,0.760904,1
P_25113,W_25113,0,0.4074,0
P_25114,W_3057,0,0.17405,0
P_25115,W_7084,0,0.6401,0
P_25116,W_25113,0,0.468896,1
P_25131,W_7229,1,0.419711,0
P_251479,W_37947,2,0.749841,1
P_25150,W_25150,2,0.568672,1
P_25151,W_25150,2,0.570037,1
P_25154,W_25154,0,0.490477,1
P_251547,W_32202,2,0.066627,0
P_25155,W_25154,0,0.534161,1
P_25157,W_19945,4,0.473302,0
P_25159,W_4829,4,0.616366,1
P_25160,W_12792,3,0.678504,0
P_25163,W_4810,1,0.753529,0
P_25164,W_19943,3,0.841806,1
P_25166,W_4865,4,0.577129,1
P_25173,W_22965,1,0.777725,1
P_25174,W_4814,4,0.566846,0
P_251785,W_40675,1,0.716893,1
P_25180,W_4820,4,0.659881,1
P_25181,W_11859,4,0.694569,1
P_251896,W_99751,2,0.206343,0
P_251898,W_5697,2,0.127518,1
P_251900,W_5687,2,0.282554,0
P_25191,W_7257,3,0.57413,1
P_251944,W_31360,2,0.814685,1
P_251952,W_53687,2,0.594391,1
P_252351,W_3203,1,0.238741,0
P_252526,W_3074,2,0.182368,0
P_252532,W_9626,2,0.246765,0
P_252545,W_8202,2,0.360954,1
P_252625,W_4642,1,0.093774,0
P_252688,W_6216,3,0.598214,1
P_252711,W_126478,0,0.696544,1
P_25274,W_10790,1,0.317789,0
P_25276,W_4694,4,0.752096,1
P_252767,W_4887,1,0.736141,1
P_25304,W_4762,3,0.275193,1
P_253135,W_2407,2,0.298719,0
P_253177,W_1362,1,0.258081,0
P_253273,W_2271,1,0.17047,0
P_253330,W_21817,0,0.437124,0
P_253385,W_122254,2,0.5475,0
P_253491,W_125147,2,0.619741,1
P_253528,W_9286,2,0.595854,1
P_25365,W_3237,4,0.526382,0
P_25372,W_5954,3,0.50345,1
P_253772,W_40924,0,0.809381,1
P_25385,W_2930,3,0.666383,0
P_25386,W_2768,4,0.105853,0
P_25387,W_3162,2,0.242692,0
P_25388,W_5118,4,0.333333,1
P_253908,W_23767,0,0.756897,0
P_25391,W_8937,0,0.351276,0
P_25392,W_9508,3,0.307223,1
P_25393,W_2928,1,0.073366,0
P_254170,W_42117,0,0.486834,0
P_25428,W_21013,2,0.629596,0
P_254461,W_6676,3,0.388398,0
P_254520,W_383,3,0.254382,0
P_25467,W_7584,0,0.662315,1
P_25468,W_23772,3,0.436214,1
P_254731,W_2966,4,0.142485,0
P_254873,W_111510,2,0.655383,0
P_254880,W_29078,1,0.710729,0
P_2549,W_642,3,0.027822,0
P_255030,W_59952,4,0.468987,0
P_25511,W_25511,4,0.722682,0
P_255292,W_3203,1,0.588868,1
P_25538,W_5342,3,0.076002,1
P_25548,W_6464,3,0.020511,0
P_255604,W_57375,3,0.230148,1
P_255621,W_14861,0,0.777784,1
P_255634,W_115707,2,0.346026,1
P_2558,W_2558,3,0.249406,0
P_256121,W_1409,4,0.316269,0
P_25621,W_25621,3,0.738605,0
P_25622,W_5555,3,0.139081,0
P_256332,W_179,3,0.253715,0
P_256413,W_4698,1,0.606633,1
P_256415,W_4939,4,0.644485,0
P_25642,W_1305,2,0.090149,0
P_256439,W_122709,2,0.210935,0
P_25660,W_7027,0,0.09471,0
P_256715,W_68472,3,0.23279,1
P_256796,W_8213,1,0.66285,1
P_25680,W_23544,1,0.853553,0
P_25682,W_1650,3,0.161224,0
P_25685,W_7489,0,0.780719,0
P_256942,W_28094,0,0.557711,0
P_256985,W_106883,4,0.659107,1
P_257171,W_23767,0,0.527771,1
P_257184,W_7249,0,0.270619,0
P_257199,W_5461,4,0.360255,1
P_257548,W_1454,0,0.211187,0
P_257739,W_62086,3,0.385594,1
P_257993,W_1055,2,0.26336,0
P_258014,W_27477,3,0.463395,0
P_258337,W_8535,4,0.653752,1
P_258340,W_137560,3,0.5723,0
P_258360,W_20414,1,0.358017,0
P_25844,W_3978,1,0.415653,1
P_258642,W_5917,2,0.303511,0
P_258643,W_4066,1,0.229778,1
P_258726,W_30424,2,0.345131,0
P_258728,W_8521,2,0.574989,1
P_258730,W_20622,0,0.348197,0
P_258781,W_13204,0,0.154087,0
P_258799,W_2658,1,0.321478,0
P_258811,W_799,4,0.662466,1
P_258814,W_14662,4,0.662985,1
P_258913,W_7084,0,0.509387,0
P_259030,W_113981,2,0.531041,1
P_259058,W_34604,1,0.782961,1
P_259093,W_59954,2,0.511156,1
P_259143,W_6210,3,0.41032,1
P_259204,W_5162,4,0.184883,1
P_259330,W_35188,3,0.583041,1
P_259333,W_284,2,0.726227,1
P_259349,W_1616,3,0.145179,0
P_259356,W_284,2,0.706435,0
P_259420,W_284,2,0.347837,1
P_259431,W_7961,3,0.403841,0
P_259441,W_89492,2,0.373622,0
P_259629,W_35395,2,0.235676,1
P_259640,W_131020,0,0.719162,0
P_259651,W_131020,0,0.831659,1
P_259652,W_131020,0,0.91345,1
P_259662,W_131020,0,0.757432,1
P_259663,W_131020,0,0.501726,1
P_259664,W_131020,0,0.667284,1
P_259666,W_131020,0,0.26442,0
P_259671,W_38517,4,0.802332,1
P_259692,W_10851,4,0.682788,0
P_259977,W_131020,0,0.674648,1
P_26,W_26,3,0.257997,0
P_26002,W_13127,4,0.287164,0
P_260034,W_56781,0,0.157522,0
P_260050,W_131020,0,0.592346,1
P_260218,W_20185,3,0.337377,1
P_260259,W_7249,0,0.358731,1
P_260268,W_22148,1,0.224274,0
P_2603,W_1362,1,0.232279,1
P_26030,W_4158,0,0.072763,0
P_26037,W_6536,2,0.040011,0
P_260434,W_2696,3,0.400233,1
P_260536,W_114606,2,0.773342,1
P_260538,W_11552,4,0.229249,1
P_261102,W_9574,1,0.813318,1
P_261106,W_25511,4,0.75377,1
P_26111,W_26111,3,0.767676,1
P_261111,W_3260,0,0.699635,1
P_261112,W_10745,1,0.497209,0
P_26112,W_26111,3,0.775723,1
P_261202,W_22926,4,0.706823,1
P_26130,W_14485,3,0.054867,0
P_261340,W_103129,0,0.751001,1
P_261356,W_9263,3,0.732626,0
P_261448,W_10216,1,0.62917,1
P_261513,W_30424,2,0.411374,0
P_261521,W_124809,1,0.280605,0
P_261536,W_64650,2,0.615801,1
P_261542,W_10902,1,0.621464,0
P_26155,W_14354,0,0.71788,1
P_261708,W_15300,2,0.288752,0
P_261875,W_114712,0,0.470618,1
P_261902,W_11471,2,0.379744,0
P_262014,W_8535,4,0.629984,0
P_26203,W_2658,1,0.313567,0
P_262054,W_1276,4,0.064251,0
P_26212,W_2271,1,0.467425,1
P_262156,W_161,2,0.421029,0
P_262201,W_4865,4,0.372184,0
P_262210,W_5500,4,0.266193,1
P_262215,W_2083,2,0.188276,1
P_262482,W_6602,2,0.40663,0
P_262564,W_21352,3,0.164373,0
P_262600,W_21528,1,0.721996,0
P_262601,W_13440,2,0.419532,0
P_262605,W_119158,1,0.603731,0
P_262606,W_93644,0,0.703707,0
P_262685,W_11833,1,0.752426,1
P_262718,W_19748,1,0.779039,1
P_262746,W_5655,3,0.716756,1
P_262800,W_53040,3,0.457143,1
P_26283,W_6753,3,0.109549,0
P_263006,W_6753,3,0.456799,1
P_263092,W_9297,4,0.626945,1
P_263210,W_4922,0,0.145,0
P_263217,W_10838,2,0.777147,1
P_263293,W_5071,4,0.317931,0
P_26332,W_2454,3,0.257826,0
P_26334,W_2454,3,0.490121,0
P_26335,W_2454,3,0.517731,0
P_26336,W_19508,0,0.287219,1
P_263502,W_115251,3,0.494895,1
P_263564,W_122815,1,0.620882,0
P_263572,W_103129,0,0.79515,1
P_263668,W_12317,3,0.783571,0
P_26374,W_17671,0,0.27724,0
P_263986,W_7816,2,0.685844,1
P_264006,W_7878,4,0.432277,0
P_264037,W_103129,0,0.721466,1
P_264149,W_22154,4,0.562272,1
P_264176,W_11850,0,0.814333,1
P_264199,W_114947,1,0.611097,0
P_264332,W_12137,0,0.708237,1
P_264458,W_26,3,0.458945,1
P_26461,W_26461,3,0.297047,0
P_264676,W_13691,1,0.43897,1
P_264785,W_129436,1,0.508215,1
P_264816,W_233,4,0.271246,0
P_264967,W_27913,2,0.772485,1
P_264987,W_27913,2,0.739112,1
P_265281,W_3177,2,0.272279,0
P_265503,W_10144,4,0.104832,0
P_265508,W_2696,3,0.352699,0
P_26552,W_26542,4,0.588179,1
P_26553,W_26542,4,0.496015,0
P_265544,W_11534,3,0.344891,0
P_265545,W_111906,1,0.763612,1
P_265555,W_55861,0,0.434446,1
P_265558,W_87469,0,0.244133,0
P_265574,W_64766,0,0.141852,0
P_265611,W_10065,3,0.474352,0
P_265625,W_1812,4,0.188138,0
P_265637,W_34907,3,0.49524,1
P_265638,W_112241,2,0.566336,0
P_265642,W_7878,4,0.49964,0
P_265765,W_11798,3,0.521415,0
P_265808,W_93644,0,0.720745,1
P_265813,W_1939,1,0.6204,0
P_2659,W_2658,1,0.279758,0
P_265916,W_42117,0,0.335352,0
P_265918,W_3061,1,0.365839,0
P_265943,W_19903,3,0.065933,0
P_265944,W_5071,4,0.152765,0
P_265949,W_120968,2,0.264004,0
P_265988,W_124199,0,0.740642,1
P_266029,W_42521,4,0.851302,1
P_266050,W_123334,2,0.510313,0
P_266122,W_2393,1,0.712917,1
P_266139,W_3447,4,0.397298,0
P_266181,W_26111,3,0.765477,1
P_26629,W_6616,4,0.190151,0
P_266299,W_954,4,0.266828,0
P_266310,W_6784,3,0.382203,0
P_266326,W_1033,0,0.838288,1
P_26640,W_11898,0,0.330213,1
P_266501,W_109122,1,0.435006,1
P_266510,W_424,1,0.713071,1
