wid,pid,role
W_13079,P_222238,train
W_130823,P_258383,train
W_130823,P_258384,train
W_130864,P_365229,train
W_130864,P_441673,train
W_130876,P_258736,train
W_130876,P_748246,train
W_130920,P_258983,train
W_130920,P_258985,train
W_130929,P_259021,train
W_130929,P_699130,train
W_130956,P_259169,train
W_130956,P_564843,train
W_130959,P_259175,train
W_130959,P_259176,train
W_130996,P_259467,train
W_130996,P_259468,train
W_130998,P_259860,train
W_130998,P_728628,train
W_13101,P_13101,train
W_13101,P_13102,train
W_131012,P_259591,train
W_131012,P_259592,train
W_131033,P_312479,train
W_131033,P_561380,train
W_131073,P_106972,train
W_131073,P_260180,train
W_13109,P_288782,train
W_13109,P_669691,train
W_131164,P_260929,train
W_131164,P_268598,train
W_131167,P_260954,train
W_131167,P_260955,train
W_131198,P_261211,train
W_131198,P_481704,train
W_131213,P_261307,train
W_131213,P_261308,train
W_131254,P_261614,train
W_131254,P_349330,train
W_131261,P_261731,train
W_131261,P_261732,train
W_131287,P_262046,train
W_131287,P_724022,train
W_131291,P_262061,train
W_131291,P_262062,train
W_131305,P_262170,train
W_131305,P_292022,train
W_131311,P_262231,train
W_131311,P_262232,train
W_131312,P_262254,train
W_131312,P_389214,train
W_131336,P_262375,train
W_131336,P_262378,train
W_131350,P_262433,train
W_131350,P_262434,train
W_131361,P_262486,train
W_131361,P_262488,train
W_131391,P_366341,train
W_131391,P_704843,train
W_131407,P_478022,train
W_131407,P_607101,train
W_131417,P_263203,train
W_131417,P_263206,train
W_131418,P_263233,train
W_131418,P_600880,train
W_131430,P_263313,train
W_131430,P_263314,train
W_131452,P_263417,train
W_131452,P_263418,train
W_131466,P_263464,train
W_131466,P_263465,train
W_131470,P_263478,train
W_131470,P_263479,train
W_131501,P_263649,train
W_131501,P_263651,train
W_131504,P_263743,train
W_131504,P_273317,train
W_131537,P_368187,train
W_131537,P_414622,train
W_131540,P_506143,train
W_131540,P_730434,train
W_131550,P_264060,train
W_131550,P_264061,train
W_131556,P_264090,train
W_131556,P_345789,train
W_131565,P_264138,train
W_131565,P_588057,train
W_131584,P_264233,train
W_131584,P_469919,train
W_131682,P_264800,train
W_131682,P_264801,train
W_131683,P_264804,train
W_131683,P_717313,train
W_131769,P_265137,train
W_131769,P_265138,train
W_131770,P_265139,train
W_131770,P_265140,train
W_131793,P_265228,train
W_131793,P_548570,train
W_131794,P_265231,train
W_131794,P_683717,train
W_131795,P_265233,train
W_131795,P_327912,train
W_131833,P_265420,train
W_131833,P_635803,train
W_131835,P_265425,train
W_131835,P_265426,train
W_131836,P_265430,train
W_131836,P_495829,train
W_131862,P_265538,train
W_131862,P_265539,train
W_131899,P_699839,train
W_131899,P_754127,train
W_131915,P_265967,train
W_131915,P_499345,train
W_131918,P_265981,train
W_131918,P_265984,train
W_131956,P_266229,train
W_131956,P_747147,train
W_13200,P_140241,train
W_13200,P_771658,train
W_132090,P_267221,train
W_132090,P_337853,train
W_132094,P_277779,train
W_132094,P_435489,train
W_132120,P_421889,train
W_132120,P_623973,train
W_132182,P_268253,train
W_132182,P_278373,train
W_13219,P_473147,train
W_13219,P_718670,train
W_132206,P_268335,train
W_132206,P_268336,train
W_132279,P_268720,train
W_132279,P_268733,train
W_132286,P_268727,train
W_132286,P_717113,train
W_132317,P_268849,train
W_132317,P_268850,train
W_132345,P_270415,train
W_132345,P_753550,train
W_132349,P_269038,train
W_132349,P_269039,train
W_132350,P_269040,train
W_132350,P_269041,train
W_132351,P_269042,train
W_132351,P_269043,train
W_13238,P_13238,train
W_13238,P_386054,train
W_132415,P_269386,train
W_132415,P_269387,train
W_132422,P_417567,train
W_132422,P_419722,train
W_132450,P_324322,train
W_132450,P_662199,train
W_132522,P_270086,train
W_132522,P_340980,train
W_132574,P_270305,train
W_132574,P_270318,train
W_132627,P_270786,train
W_132627,P_374358,train
W_132666,P_271105,train
W_132666,P_271107,train
W_132692,P_271292,train
W_132692,P_693079,train
W_132746,P_271659,train
W_132746,P_271660,train
W_132752,P_271751,train
W_132752,P_271760,train
W_13277,P_13277,train
W_13277,P_590395,train
W_132775,P_271965,train
W_132775,P_271968,train
W_132777,P_323385,train
W_132777,P_414932,train
W_132779,P_272025,train
W_132779,P_388567,train
W_132795,P_272118,train
W_132795,P_295848,train
W_132863,P_272616,train
W_132863,P_477079,train
W_132893,P_272749,train
W_132893,P_608878,train
W_132897,P_627150,train
W_132897,P_712127,train
W_132902,P_467806,train
W_132902,P_552504,train
W_132905,P_272845,train
W_132905,P_272846,train
W_132936,P_273169,train
W_132936,P_273171,train
W_132940,P_617135,train
W_132940,P_749939,train
W_132994,P_273630,train
W_132994,P_486058,train
W_132996,P_273634,train
W_132996,P_273635,train
W_133000,P_273703,train
W_133000,P_273704,train
W_133001,P_273706,train
W_133001,P_273707,train
W_13305,P_111163,train
W_13305,P_13305,train
W_133059,P_273965,train
W_133059,P_273968,train
W_133077,P_274102,train
W_133077,P_274106,train
W_13309,P_13309,train
W_13309,P_364594,train
W_133102,P_276823,train
W_133102,P_559208,train
W_133104,P_274388,train
W_133104,P_274389,train
W_133112,P_274429,train
W_133112,P_274430,train
W_133138,P_274602,train
W_133138,P_274605,train
W_133166,P_361107,train
W_133166,P_667855,train
W_133183,P_274851,train
W_133183,P_516079,train
W_133188,P_427649,train
W_133188,P_702892,train
W_133196,P_274890,train
W_133196,P_274896,train
W_133202,P_274911,train
W_133202,P_274917,train
W_133203,P_274926,train
W_133203,P_274927,train
W_133228,P_373461,train
W_133228,P_571338,train
W_133249,P_275218,train
W_133249,P_275219,train
W_133279,P_275425,train
W_133279,P_397756,train
W_133280,P_276533,train
W_133280,P_276571,train
W_133286,P_275446,train
W_133286,P_794825,train
W_133324,P_593260,train
W_133324,P_720176,train
W_133329,P_275674,train
W_133329,P_275677,train
W_133361,P_552868,train
W_133361,P_598097,train
W_133370,P_275912,train
W_133370,P_655162,train
W_133415,P_276171,train
W_133415,P_472805,train
W_133416,P_623089,train
W_133416,P_742565,train
W_133423,P_276236,train
W_133423,P_276237,train
W_133447,P_276370,train
W_133447,P_795421,train
W_133452,P_276391,train
W_133452,P_436282,train
W_133453,P_276393,train
W_133453,P_276394,train
W_133472,P_399232,train
W_133472,P_510729,train
W_133473,P_276628,train
W_133473,P_629391,train
W_133478,P_276651,train
W_133478,P_448965,train
W_133480,P_530868,train
W_133480,P_578910,train
W_133489,P_276791,train
W_133489,P_676853,train
W_133490,P_276787,train
W_133490,P_573288,train
W_133503,P_276932,train
W_133503,P_306962,train
W_133511,P_277007,train
W_133511,P_278037,train
W_133515,P_277041,train
W_133515,P_758803,train
W_133593,P_277801,train
W_133593,P_575639,train
W_133598,P_506236,train
W_133598,P_784032,train
W_133599,P_325952,train
W_133599,P_326073,train
W_133622,P_278317,train
W_133622,P_278322,train
W_133633,P_278391,train
W_133633,P_278392,train
W_133648,P_473868,train
W_133648,P_595589,train
W_133651,P_283452,train
W_133651,P_288812,train
W_133707,P_279266,train
W_133707,P_279267,train
W_133723,P_279422,train
W_133723,P_293989,train
W_133770,P_279875,train
W_133770,P_715224,train
W_133829,P_281187,train
W_133829,P_315320,train
W_133834,P_593739,train
W_133834,P_709316,train
W_133835,P_280596,train
W_133835,P_549404,train
W_133836,P_592545,train
W_133836,P_660127,train
W_133840,P_586766,train
W_133840,P_679832,train
W_133847,P_280787,train
W_133847,P_280794,train
W_133851,P_280877,train
W_133851,P_404518,train
W_133873,P_281050,train
W_133873,P_281054,train
W_133880,P_281076,train
W_133880,P_281078,train
W_133954,P_596847,train
W_133954,P_780981,train
W_133965,P_281392,train
W_133965,P_281446,train
W_133975,P_281492,train
W_133975,P_779528,train
W_133976,P_281589,train
W_133976,P_281590,train
W_133983,P_281581,train
W_133983,P_281582,train
W_133985,P_281613,train
W_133985,P_281615,train
W_133992,P_281638,train
W_133992,P_718645,train
W_134002,P_281748,train
W_134002,P_281751,train
W_134017,P_281891,train
W_134017,P_515166,train
W_134067,P_282731,train
W_134067,P_336978,train
W_134083,P_539415,train
W_134083,P_601963,train
W_134091,P_283047,train
W_134091,P_283048,train
W_134106,P_283125,train
W_134106,P_615701,train
W_134109,P_283146,train
W_134109,P_283147,train
W_134160,P_283947,train
W_134160,P_627918,train
W_134164,P_284027,train
W_134164,P_332294,train
W_134167,P_284051,train
W_134167,P_284058,train
W_134169,P_284085,train
W_134169,P_284127,train
W_134177,P_284094,train
W_134177,P_284124,train
W_134184,P_284101,train
W_134184,P_284104,train
W_134194,P_285867,train
W_134194,P_720380,train
W_134198,P_284275,train
W_134198,P_284277,train
W_134207,P_284369,train
W_134207,P_284370,train
W_134209,P_284378,train
W_134209,P_527405,train
W_134211,P_767081,train
W_134211,P_780178,train
W_134227,P_284697,train
W_134227,P_284698,train
W_134252,P_284956,train
W_134252,P_284957,train
W_134257,P_285019,train
W_134257,P_285020,train
W_134259,P_285124,train
W_134259,P_393111,train
W_134264,P_285090,train
W_134264,P_530874,train
W_134270,P_286375,train
W_134270,P_786145,train
W_134295,P_285365,train
W_134295,P_285366,train
W_134320,P_459828,train
W_134320,P_484373,train
W_134356,P_285792,train
W_134356,P_733789,train
W_134379,P_286129,train
W_134379,P_286130,train
W_134382,P_720804,train
W_134382,P_720868,train
W_134384,P_680884,train
W_134384,P_724762,train
W_134418,P_311317,train
W_134418,P_601263,train
W_134433,P_286586,train
W_134433,P_286797,train
W_134436,P_286644,train
W_134436,P_286645,train
W_134443,P_286691,train
W_134443,P_286695,train
W_134448,P_286690,train
W_134448,P_286700,train
W_134472,P_518333,train
W_134472,P_775630,train
W_134488,P_287170,train
W_134488,P_365801,train
W_134498,P_287276,train
W_134498,P_287277,train
W_134506,P_287324,train
W_134506,P_560848,train
W_134521,P_287398,train
W_134521,P_287401,train
W_134524,P_287415,train
W_134524,P_728220,train
W_134550,P_287763,train
W_134550,P_287781,train
W_134553,P_395764,train
W_134553,P_413239,train
W_134555,P_287712,train
W_134555,P_343284,train
W_134606,P_288083,train
W_134606,P_288094,train
W_134613,P_288136,train
W_134613,P_288137,train
W_134650,P_288442,train
W_134650,P_288444,train
W_134653,P_288449,train
W_134653,P_288450,train
W_134657,P_288465,train
W_134657,P_288466,train
W_134729,P_288914,train
W_134729,P_288924,train
W_134745,P_289163,train
W_134745,P_289165,train
W_134756,P_289241,train
W_134756,P_289242,train
W_134759,P_289303,train
W_134759,P_289304,train
W_134826,P_289975,train
W_134826,P_289977,train
W_134873,P_398694,train
W_134873,P_518395,train
W_134924,P_290639,train
W_134924,P_290644,train
W_134987,P_291055,train
W_134987,P_608109,train
W_134998,P_291204,train
W_134998,P_293352,train
W_135038,P_291555,train
W_135038,P_291556,train
W_135049,P_291647,train
W_135049,P_292584,train
W_135060,P_291691,train
W_135060,P_502810,train
W_135063,P_291700,train
W_135063,P_291703,train
W_135087,P_291886,train
W_135087,P_291887,train
W_135096,P_590113,train
W_135096,P_759810,train
W_135146,P_292502,train
W_135146,P_292504,train
W_135166,P_566038,train
W_135166,P_724892,train
W_135169,P_292739,train
W_135169,P_394386,train
W_135180,P_518341,train
W_135180,P_698867,train
W_135212,P_293155,train
W_135212,P_323483,train
W_135231,P_293337,train
W_135231,P_293354,train
W_135247,P_457917,train
W_135247,P_610108,train
W_135296,P_293966,train
W_135296,P_293971,train
W_135368,P_294580,train
W_135368,P_294589,train
W_135381,P_294731,train
W_135381,P_294732,train
W_135382,P_294734,train
W_135382,P_294736,train
W_135389,P_367252,train
W_135389,P_620113,train
W_135396,P_294800,train
W_135396,P_294801,train
W_135407,P_294859,train
W_135407,P_294861,train
W_135416,P_294942,train
W_135416,P_434281,train
W_135430,P_295013,train
W_135430,P_782800,train
W_135441,P_295115,train
W_135441,P_295116,train
W_135443,P_295126,train
W_135443,P_295131,train
W_135462,P_295211,train
W_135462,P_295213,train
W_135468,P_295246,train
W_135468,P_295250,train
W_135494,P_295494,train
W_135494,P_295495,train
W_135528,P_295875,train
W_135528,P_683350,train
W_135545,P_733429,train
W_135545,P_752648,train
W_135630,P_297059,train
W_135630,P_401186,train
W_135671,P_731796,train
W_135671,P_731804,train
W_135678,P_297507,train
W_135678,P_297508,train
W_135705,P_297887,train
W_135705,P_297891,train
W_135733,P_482752,train
W_135733,P_620573,train
W_135734,P_298249,train
W_135734,P_475380,train
W_135735,P_312267,train
W_135735,P_797045,train
W_135762,P_298439,train
W_135762,P_470648,train
W_135764,P_298453,train
W_135764,P_298454,train
W_135765,P_554573,train
W_135765,P_554574,train
W_135767,P_298481,train
W_135767,P_298482,train
W_135768,P_298484,train
W_135768,P_298488,train
W_135769,P_329017,train
W_135769,P_560715,train
W_135775,P_298518,train
W_135775,P_298519,train
W_13581,P_170653,train
W_13581,P_204502,train
W_135816,P_298818,train
W_135816,P_298821,train
W_135818,P_298926,train
W_135818,P_687963,train
W_135893,P_299467,train
W_135893,P_338576,train
W_135953,P_299944,train
W_135953,P_299945,train
W_135984,P_300135,train
W_135984,P_300137,train
W_135988,P_423688,train
W_135988,P_690048,train
W_135994,P_300219,train
W_135994,P_300220,train
W_136018,P_300330,train
W_136018,P_300339,train
W_136024,P_300387,train
W_136024,P_300398,train
W_136071,P_301046,train
W_136071,P_301047,train
W_136073,P_301062,train
W_136073,P_301063,train
W_136075,P_301082,train
W_136075,P_301083,train
W_136082,P_301150,train
W_136082,P_798856,train
W_136086,P_301193,train
W_136086,P_301208,train
W_136105,P_301412,train
W_136105,P_301413,train
W_136106,P_301421,train
W_136106,P_326875,train
W_136156,P_301940,train
W_136156,P_476475,train
W_136157,P_301950,train
W_136157,P_575469,train
W_136192,P_302221,train
W_136192,P_302228,train
W_136210,P_302356,train
W_136210,P_302390,train
W_136214,P_302360,train
W_136214,P_302382,train
W_136235,P_461484,train
W_136235,P_546223,train
W_136237,P_302651,train
W_136237,P_648481,train
W_136249,P_302877,train
W_136249,P_302878,train
W_136301,P_303611,train
W_136301,P_555572,train
W_13632,P_13632,train
W_13632,P_165842,train
W_136325,P_303864,train
W_136325,P_714845,train
W_136332,P_303962,train
W_136332,P_303965,train
W_136337,P_304023,train
W_136337,P_430070,train
W_136341,P_747330,train
W_136341,P_768042,train
W_136368,P_304506,train
W_136368,P_555919,train
W_136381,P_304668,train
W_136381,P_632774,train
W_136386,P_304697,train
W_136386,P_304698,train
W_136394,P_304884,train
W_136394,P_594190,train
W_136428,P_305233,train
W_136428,P_305262,train
W_136444,P_305358,train
W_136444,P_305360,train
W_136455,P_305464,train
W_136455,P_305465,train
W_136462,P_305634,train
W_136462,P_667456,train
W_136473,P_305810,train
W_136473,P_744975,train
W_136486,P_305953,train
W_136486,P_305954,train
W_136489,P_305992,train
W_136489,P_584029,train
W_136521,P_629987,train
W_136521,P_765147,train
W_136574,P_306671,train
W_136574,P_306672,train
W_136617,P_307070,train
W_136617,P_307074,train
W_136620,P_307124,train
W_136620,P_307125,train
W_136635,P_307342,train
W_136635,P_312238,train
W_136678,P_307632,train
W_136678,P_307633,train
W_136704,P_400109,train
W_136704,P_580558,train
W_136720,P_307831,train
W_136720,P_308116,train
W_136724,P_693144,train
W_136724,P_793134,train
W_136725,P_307813,train
W_136725,P_307815,train
W_13673,P_13673,train
W_13673,P_256827,train
W_136746,P_307940,train
W_136746,P_307941,train
W_136782,P_308273,train
W_136782,P_308274,train
W_136787,P_308374,train
W_136787,P_308387,train
W_136811,P_308485,train
W_136811,P_308846,train
W_136833,P_472390,train
W_136833,P_792883,train
W_136838,P_308715,train
W_136838,P_769141,train
W_136875,P_308985,train
W_136875,P_308987,train
W_136879,P_309030,train
W_136879,P_309032,train
W_136881,P_309067,train
W_136881,P_309068,train
W_136889,P_671524,train
W_136889,P_769730,train
W_136897,P_309186,train
W_136897,P_651835,train
W_136910,P_309214,train
W_136910,P_309217,train
W_136934,P_309268,train
W_136934,P_309269,train
W_136938,P_309308,train
W_136938,P_526812,train
W_136974,P_309485,train
W_136974,P_309488,train
W_137007,P_309844,train
W_137007,P_310176,train
W_137011,P_309890,train
W_137011,P_309891,train
W_137028,P_350588,train
W_137028,P_512009,train
W_137043,P_310102,train
W_137043,P_314638,train
W_137071,P_310269,train
W_137071,P_497933,train
W_137102,P_310493,train
W_137102,P_310505,train
W_137107,P_375841,train
W_137107,P_375973,train
W_137129,P_310613,train
W_137129,P_310616,train
W_137154,P_310727,train
W_137154,P_310734,train
W_13720,P_330860,train
W_13720,P_56950,train
W_137243,P_311460,train
W_137243,P_311471,train
W_137274,P_311768,train
W_137274,P_587080,train
W_137287,P_599061,train
W_137287,P_769279,train
W_137295,P_311894,train
W_137295,P_675247,train
W_137319,P_312734,train
W_137319,P_396794,train
W_137343,P_312251,train
W_137343,P_312252,train
W_137367,P_312378,train
W_137367,P_312382,train
W_137376,P_312431,train
W_137376,P_760556,train
W_137378,P_312484,train
W_137378,P_392665,train
W_137407,P_312720,train
W_137407,P_598763,train
W_137412,P_312747,train
W_137412,P_712553,train
W_137436,P_313076,train
W_137436,P_313077,train
W_137571,P_313993,train
W_137571,P_313994,train
W_137610,P_314168,train
W_137610,P_314177,train
W_137667,P_314752,train
W_137667,P_314753,train
W_137670,P_314773,train
W_137670,P_411797,train
W_137677,P_314826,train
W_137677,P_721383,train
W_137686,P_314849,train
W_137686,P_314850,train
W_137709,P_314976,train
W_137709,P_671670,train
W_137720,P_315034,train
W_137720,P_601363,train
W_137728,P_315092,train
W_137728,P_315093,train
W_137774,P_640439,train
W_137774,P_752422,train
W_137814,P_315795,train
W_137814,P_315796,train
W_137873,P_316133,train
W_137873,P_616095,train
W_137881,P_316163,train
W_137881,P_616084,train
W_137907,P_316331,train
W_137907,P_316332,train
W_137935,P_316490,train
W_137935,P_316491,train
W_137958,P_316681,train
W_137958,P_316760,train
W_138003,P_316911,train
W_138003,P_316912,train
W_138017,P_317360,train
W_138017,P_770943,train
W_138025,P_317033,train
W_138025,P_626569,train
W_138063,P_317269,train
W_138063,P_317270,train
W_138065,P_317275,train
W_138065,P_515016,train
W_138084,P_317417,train
W_138084,P_410851,train
W_138094,P_317487,train
W_138094,P_317493,train
W_138105,P_317577,train
W_138105,P_327309,train
W_138107,P_317566,train
W_138107,P_761184,train
W_138118,P_317591,train
W_138118,P_494873,train
W_138125,P_317623,train
W_138125,P_544490,train
W_138126,P_317624,train
W_138126,P_486492,train
W_13814,P_612343,train
W_13814,P_612356,train
W_138152,P_317803,train
W_138152,P_317804,train
W_138158,P_317852,train
W_138158,P_317856,train
W_138211,P_445326,train
W_138211,P_770756,train
W_138242,P_319247,train
W_138242,P_319255,train
W_13826,P_13826,train
W_13826,P_13827,train
W_138282,P_714698,train
W_138282,P_720874,train
W_138299,P_319253,train
W_138299,P_319268,train
W_138322,P_319416,train
W_138322,P_319419,train
W_138326,P_319401,train
W_138326,P_319403,train
W_138358,P_319723,train
W_138358,P_623581,train
W_138389,P_319917,train
W_138389,P_319923,train
W_138397,P_319930,train
W_138397,P_319931,train
W_138406,P_319973,train
W_138406,P_524938,train
W_138483,P_676606,train
W_138483,P_795813,train
W_138494,P_320569,train
W_138494,P_320643,train
W_138497,P_441303,train
W_138497,P_486412,train
W_138529,P_567635,train
W_138529,P_620720,train
W_138562,P_321172,train
W_138562,P_321274,train
W_138575,P_321252,train
W_138575,P_321253,train
W_138588,P_321320,train
W_138588,P_321325,train
W_138590,P_331835,train
W_138590,P_539685,train
W_13861,P_84656,train
W_13861,P_99606,train
W_138614,P_321447,train
W_138614,P_740051,train
W_138631,P_321521,train
W_138631,P_321526,train
W_138663,P_321614,train
W_138663,P_321615,train
W_138684,P_321684,train
W_138684,P_321685,train
W_138704,P_321811,train
W_138704,P_321812,train
W_138715,P_321868,train
W_138715,P_321869,train
W_138729,P_321938,train
W_138729,P_321939,train
W_138780,P_322362,train
W_138780,P_457289,train
W_138782,P_322302,train
W_138782,P_458449,train
W_138796,P_322338,train
W_138796,P_418580,train
W_138840,P_322695,train
W_138840,P_322696,train
W_138843,P_574362,train
W_138843,P_614877,train
W_138868,P_322935,train
W_138868,P_322939,train
W_138880,P_322983,train
W_138880,P_322984,train
W_138907,P_323059,train
W_138907,P_760246,train
W_138912,P_323069,train
W_138912,P_760250,train
W_138924,P_323194,train
W_138924,P_323196,train
W_138990,P_326400,train
W_138990,P_481264,train
W_138993,P_323653,train
W_138993,P_323667,train
W_139017,P_323718,train
W_139017,P_333733,train
W_139051,P_323983,train
W_139051,P_324008,train
W_139083,P_324311,train
W_139083,P_380997,train
W_139099,P_324490,train
W_139099,P_374841,train
W_139130,P_348553,train
W_139130,P_348563,train
W_139141,P_324985,train
W_139141,P_797263,train
W_139157,P_325206,train
W_139157,P_325209,train
W_139197,P_325776,train
W_139197,P_325795,train
W_1392,P_58984,train
W_1392,P_684882,train
W_139224,P_326002,train
W_139224,P_326004,train
W_139227,P_326011,train
W_139227,P_326012,train
W_139245,P_326330,train
W_139245,P_743363,train
W_139255,P_326455,train
W_139255,P_497656,train
W_139259,P_616504,train
W_139259,P_702824,train
W_139299,P_326615,train
W_139299,P_373101,train
W_139334,P_586444,train
W_139334,P_662953,train
W_139345,P_327232,train
W_139345,P_702903,train
W_139346,P_327235,train
W_139346,P_703126,train
W_139380,P_327433,train
W_139380,P_716282,train
W_139401,P_327711,train
W_139401,P_327712,train
W_13943,P_266559,train
W_13943,P_428268,train
W_139477,P_328642,train
W_139477,P_328644,train
W_139513,P_328884,train
W_139513,P_328886,train
W_139543,P_329097,train
W_139543,P_329098,train
W_139545,P_329143,train
W_139545,P_329147,train
W_139552,P_329268,train
W_139552,P_760171,train
W_139555,P_329307,train
W_139555,P_329309,train
W_13956,P_181498,train
W_13956,P_19798,train
W_139579,P_329497,train
W_139579,P_329498,train
W_13959,P_129430,train
W_13959,P_13959,train
W_139610,P_329830,train
W_139610,P_604192,train
W_139643,P_581820,train
W_139643,P_730101,train
W_139666,P_330321,train
W_139666,P_330323,train
W_139701,P_330569,train
W_139701,P_346794,train
W_139714,P_330638,train
W_139714,P_575228,train
W_139730,P_330799,train
W_139730,P_728232,train
W_139731,P_330806,train
W_139731,P_330807,train
W_139733,P_330815,train
W_139733,P_330818,train
W_139741,P_330901,train
W_139741,P_330933,train
W_13977,P_151861,train
W_13977,P_242422,train
W_139777,P_331363,train
W_139777,P_331364,train
W_139779,P_331375,train
W_139779,P_332408,train
W_139820,P_331683,train
W_139820,P_331686,train
W_13984,P_13984,train
W_13984,P_13985,train
W_139843,P_331898,train
W_139843,P_718183,train
W_139855,P_331987,train
W_139855,P_599544,train
W_139880,P_332068,train
W_139880,P_793482,train
W_139881,P_631106,train
W_139881,P_791411,train
W_139959,P_332352,train
W_139959,P_497959,train
W_139976,P_332419,train
W_139976,P_733129,train
W_14,P_15,train
W_14,P_60604,train
W_140026,P_332693,train
W_140026,P_332696,train
W_140130,P_333177,train
W_140130,P_544666,train
W_140154,P_333305,train
W_140154,P_333310,train
W_140169,P_333474,train
W_140169,P_333478,train
W_140225,P_333793,train
W_140225,P_333795,train
W_14025,P_322500,train
W_14025,P_328114,train
W_140273,P_334178,train
W_140273,P_334179,train
W_140298,P_334564,train
W_140298,P_498034,train
W_140301,P_334537,train
W_140301,P_334544,train
W_140315,P_334629,train
W_140315,P_756514,train
W_140321,P_480576,train
W_140321,P_763240,train
W_140374,P_335045,train
W_140374,P_443691,train
W_140417,P_335153,train
W_140417,P_701210,train
W_140468,P_335720,train
W_140468,P_600826,train
W_140488,P_335878,train
W_140488,P_335879,train
W_140570,P_336455,train
W_140570,P_641485,train
W_140576,P_336548,train
W_140576,P_336549,train
W_140634,P_336766,train
W_140634,P_336767,train
W_140668,P_336967,train
W_140668,P_680512,train
W_140688,P_337064,train
W_140688,P_337066,train
W_140691,P_337109,train
W_140691,P_337110,train
W_140724,P_337300,train
W_140724,P_583204,train
W_140766,P_337700,train
W_140766,P_337701,train
W_140779,P_337870,train
W_140779,P_556342,train
W_140791,P_337936,train
W_140791,P_369907,train
W_140803,P_338085,train
W_140803,P_338087,train
W_140827,P_338402,train
W_140827,P_338403,train
W_140884,P_338581,train
W_140884,P_338582,train
W_140939,P_355574,train
W_140939,P_417673,train
W_140966,P_339207,train
W_140966,P_339209,train
W_140970,P_339242,train
W_140970,P_339501,train
W_140985,P_339345,train
W_140985,P_424823,train
W_140996,P_339410,train
W_140996,P_339413,train
W_141024,P_339595,train
W_141024,P_339605,train
W_141032,P_339648,train
W_141032,P_339649,train
W_141045,P_339706,train
W_141045,P_655065,train
W_141061,P_339810,train
W_141061,P_339812,train
W_141070,P_340155,train
W_141070,P_340156,train
W_141102,P_340499,train
W_141102,P_340504,train
W_141150,P_340966,train
W_141150,P_340967,train
W_141162,P_341072,train
W_141162,P_341077,train
W_141167,P_341091,train
W_141167,P_341092,train
W_141173,P_341144,train
W_141173,P_647368,train
W_141178,P_341176,train
W_141178,P_341189,train
W_14118,P_125114,train
W_14118,P_187441,train
W_141180,P_341214,train
W_141180,P_341217,train
W_141201,P_341361,train
W_141201,P_341363,train
W_141225,P_341497,train
W_141225,P_341498,train
W_141254,P_341719,train
W_141254,P_341722,train
W_141263,P_341813,train
W_141263,P_341844,train
W_141289,P_342081,train
W_141289,P_342085,train
W_141302,P_342229,train
W_141302,P_342230,train
W_141331,P_342459,train
W_141331,P_361737,train
W_141358,P_342769,train
W_141358,P_604759,train
W_141362,P_342814,train
W_141362,P_605123,train
W_141382,P_343049,train
W_141382,P_343050,train
W_141398,P_466204,train
W_141398,P_466205,train
W_14142,P_14143,train
W_14142,P_414835,train
W_141427,P_513329,train
W_141427,P_544892,train
W_141465,P_343581,train
W_141465,P_343590,train
W_141484,P_343975,train
W_141484,P_343992,train
W_141503,P_344142,train
W_141503,P_344143,train
W_141547,P_344329,train
W_141547,P_399658,train
W_141594,P_344572,train
W_141594,P_344574,train
W_141608,P_344682,train
W_141608,P_344683,train
W_14161,P_14161,train
W_14161,P_584179,train
W_141638,P_344903,train
W_141638,P_345003,train
W_141652,P_345097,train
W_141652,P_345098,train
W_141669,P_345170,train
W_141669,P_345173,train
W_141673,P_345184,train
W_141673,P_345188,train
W_141689,P_345349,train
W_141689,P_345350,train
W_141690,P_345374,train
W_141690,P_345375,train
W_141722,P_345615,train
W_141722,P_728635,train
W_141817,P_346425,train
W_141817,P_346426,train
W_141847,P_346500,train
W_141847,P_346501,train
W_141872,P_351911,train
W_141872,P_728235,train
W_14188,P_150128,train
W_14188,P_180396,train
W_141974,P_347295,train
W_141974,P_452654,train
W_141977,P_347352,train
W_141977,P_347353,train
W_142007,P_347759,train
W_142007,P_347760,train
W_142066,P_348333,train
W_142066,P_348335,train
W_142091,P_348457,train
W_142091,P_755500,train
W_142125,P_348685,train
W_142125,P_348690,train
W_142137,P_348832,train
W_142137,P_526004,train
W_142138,P_731121,train
W_142138,P_731127,train
W_142144,P_348907,train
W_142144,P_348908,train
W_142200,P_349454,train
W_142200,P_349463,train
W_142206,P_349493,train
W_142206,P_349495,train
W_142217,P_349543,train
W_142217,P_349544,train
W_142220,P_349556,train
W_142220,P_349559,train
W_142382,P_350872,train
W_142382,P_712465,train
W_142443,P_351345,train
W_142443,P_351359,train
W_142481,P_373664,train
W_142481,P_373675,train
W_142493,P_351726,train
W_142493,P_612853,train
W_142534,P_352048,train
W_142534,P_352049,train
W_142565,P_352174,train
W_142565,P_352175,train
W_142592,P_352229,train
W_142592,P_352230,train
W_142739,P_404714,train
W_142739,P_755255,train
W_142760,P_353402,train
W_142760,P_353403,train
W_142790,P_353512,train
W_142790,P_353529,train
W_142792,P_353765,train
W_142792,P_404336,train
W_142814,P_353701,train
W_142814,P_353702,train
W_142843,P_353866,train
W_142843,P_394367,train
W_142895,P_354117,train
W_142895,P_739688,train
W_142909,P_354169,train
W_142909,P_354178,train
W_142912,P_506532,train
W_142912,P_518191,train
W_142916,P_354253,train
