query_pid,query_wid,n_rel,global:full_long_rel_ranks,global:full_60_rel_ranks,global:base_1500_rel_ranks,ttr_rel_ranks,win_max_rel_ranks,win_fuse_rel_ranks,s1_hub_rel_ranks
P_16718,W_28547,12,17;19;66;262;266;353;455;468;505;690;907;1183,8;39;68;103;137;160;176;192;484;574;928;1683,312;423;648;799;832;1186;1234;1578;2372;2744;2797;5990,4;33;47;253;345;396;475;549;570;597;638;880,7;62;74;96;247;333;389;415;598;780;822;1173,11;14;92;108;120;248;319;383;396;614;621;627,17;19;66;262;266;353;455;468;505;690;907;1183
P_16719,W_28547,12,10;20;24;55;97;181;198;301;436;552;866;1354,1;2;7;9;42;46;102;135;141;402;479;568,63;81;82;96;107;201;291;567;761;1046;1959;3572,1;3;6;30;52;161;235;287;389;394;1097;2430,24;30;44;72;83;143;256;275;280;597;769;1502,12;16;24;74;87;119;150;166;203;267;847;1006,10;20;24;55;97;181;198;301;436;552;866;1354
P_167232,W_10931,12,4;35;43;67;106;109;165;209;272;359;376;1880,37;60;65;77;173;325;349;425;436;531;1059;4527,173;608;749;1554;1597;1771;2141;3619;3623;5506;5565;9806,11;68;69;92;99;156;271;343;368;395;709;2812,5;8;13;20;26;81;133;149;272;302;451;3963,6;7;11;40;68;76;96;171;188;241;356;2760,4;35;43;67;106;109;165;209;272;359;376;1880
P_167248,W_118713,12,219;233;358;425;577;1594;1962;2469;2632;3709;4213;8940,165;260;307;909;1310;1409;1839;1942;2686;4335;4712;9089,232;598;1000;2171;2382;2500;3584;5426;6993;7530;7748;8860,54;106;283;472;509;1264;1296;2110;2553;3200;4659;8825,19;567;791;1063;1654;2467;2625;4011;4149;4351;4360;9628,42;404;682;1139;1164;1835;1912;2287;3266;3369;4084;9238,219;233;358;425;577;1594;1962;2469;2632;3709;4213;8940
P_16731,W_6536,12,1;2;3;4;9;19;23;25;36;152;334;800,2;4;14;18;41;111;112;428;448;643;958;2515,344;356;897;1033;1041;1046;1501;1728;1779;1966;2094;3303,1;3;4;7;14;23;27;48;50;150;188;1045,1;2;4;6;9;13;14;26;53;110;283;469,1;2;3;5;6;9;12;19;33;72;322;453,1;2;3;4;9;19;23;25;36;152;334;800
P_167310,W_5118,12,27;37;56;88;141;155;222;248;366;444;851;1343,8;111;123;202;298;532;578;786;941;1515;1798;2323,2;86;152;300;353;417;540;608;1324;1377;2122;5521,25;36;40;62;117;196;198;204;413;489;865;1644,5;46;50;53;71;124;152;197;294;376;669;902,11;24;34;80;81;118;172;275;298;302;566;1063,27;37;56;88;141;155;222;248;366;444;851;1343
P_167358,W_7583,12,666;690;719;738;1136;2100;3435;3436;3857;5448;6384;8225,653;684;1238;1636;1886;2365;3303;3304;3557;3874;7664;9001,464;1259;1539;1800;1844;1915;3069;5912;6869;6870;8779;9752,343;376;691;1054;1081;1088;2338;2339;2444;5422;5722;8207,275;561;629;630;747;1114;1245;1390;3860;5955;7834;9846,399;518;623;799;1109;1452;1923;1924;3789;5672;7084;8964,666;690;719;738;1136;2100;3435;3436;3857;5448;6384;8225
P_167380,W_7257,12,187;393;526;604;1309;1552;1934;2086;2357;4069;5974;6592,778;1059;2059;2908;3844;4177;4430;4558;6092;6218;7322;9286,317;1070;2085;2320;2437;2773;3022;3368;5800;7151;7737;8516,640;1129;1200;1390;1705;2079;2226;2254;3258;5502;6604;6970,488;574;822;880;958;1786;2201;2527;2985;6219;8111;8978,251;258;357;491;898;1369;1831;2253;2303;5071;7019;7866,187;393;526;604;1309;1552;1934;2086;2357;4069;5974;6592
P_16740,W_6536,12,1;3;10;13;17;25;35;63;79;82;241;866,9;11;23;29;61;101;155;365;448;522;548;1723,12;174;314;342;410;635;1053;1070;1103;1135;1932;3148,3;8;9;16;23;32;48;49;51;96;226;728,4;7;10;11;18;28;38;57;58;85;207;299,1;2;3;5;12;22;29;32;45;67;198;496,1;3;10;13;17;25;35;63;79;82;241;866
P_167552,W_20257,12,1;189;296;348;359;401;462;1156;2164;2298;2614;5455,1;52;338;408;531;815;980;1416;3925;4298;5375;6437,4;10;69;123;337;835;1729;2085;3599;4614;5437;5901,1;100;175;284;303;346;419;1136;2191;2567;3916;4752,57;105;279;300;351;364;515;743;2141;2443;3453;4718,8;78;128;210;245;294;295;1365;1407;2391;2681;5047,1;189;296;348;359;401;462;1156;2164;2298;2614;5455
P_167554,W_39438,12,211;283;310;398;484;524;564;2092;2491;2755;3176;4106,179;296;805;1132;1239;1521;1677;1799;3208;3215;3848;4374,96;277;582;1092;1400;2932;3076;3305;3655;4342;5368;6296,117;152;170;716;807;1052;1104;2113;2315;2744;4460;4597,168;205;283;380;400;519;692;2833;3123;3226;3370;6150,156;198;210;275;346;366;396;2533;2705;3081;3629;4330,211;283;310;398;484;524;564;2092;2491;2755;3176;4106
P_167556,W_12159,12,3;80;167;174;450;891;1846;2639;2938;3172;5246;5253,151;278;374;548;585;1224;1825;2461;2936;4094;4925;5744,1509;2035;2071;2072;2895;2935;5732;5893;6532;6626;7899;10871,7;50;142;266;642;1203;1842;3292;3582;3853;5197;5797,6;25;28;295;688;753;1109;1232;1329;2652;2999;3110,2;9;73;239;374;391;1319;1541;2485;2917;3303;4254,3;80;167;174;450;891;1846;2639;2938;3172;5246;5253
P_167558,W_12137,12,7;33;460;620;1251;1904;2429;2943;3901;4922;5920;5921,1;120;235;885;1143;1399;1708;2339;2525;5638;8696;8697,594;843;2451;3028;4358;5948;7126;7240;9070;9400;9401;10650,24;26;393;841;1292;1443;1970;3467;3999;5480;5977;5978,29;52;218;301;533;622;1467;2921;2922;2987;3661;6229,43;79;133;151;1084;1091;1219;3228;3405;4499;4500;5635,7;33;460;620;1251;1904;2429;2943;3901;4922;5920;5921
P_167560,W_27894,12,29;510;533;797;877;1393;1835;1991;2021;3187;4008;4618,115;714;770;793;921;1761;2124;2197;2651;2927;7102;7501,92;497;1708;2138;3130;3259;3299;3798;4689;9737;10456;10682,167;262;508;593;606;802;955;1169;2380;2947;4475;4849,71;544;595;1109;1623;1933;2001;2170;2748;2813;3175;4335,13;518;588;866;985;1090;1880;2201;2520;2565;3396;4427,29;510;533;797;877;1393;1835;1991;2021;3187;4008;4618
P_1676,W_1616,12,2;4;13;23;25;47;62;90;200;461;1586;2344,108;133;168;177;361;374;382;498;790;950;1368;5700,464;637;1566;2175;2185;2681;3759;5109;5227;5990;6120;9472,3;7;8;21;28;55;85;124;198;398;1794;2045,10;38;39;101;118;122;133;136;181;195;2002;2029,1;19;21;23;43;46;60;84;137;280;1645;2035,2;4;13;23;25;47;62;90;200;461;1586;2344
P_167603,W_11534,12,68;93;163;242;279;280;747;800;917;927;1898;3729,675;740;750;810;881;1581;1607;1622;1830;1954;3880;4258,1146;1743;2289;2308;2498;2785;3198;3346;3404;3535;4584;4901,234;255;260;523;552;569;811;816;1034;1897;1901;4367,28;102;465;527;639;650;816;886;1219;1298;2919;5820,24;81;121;277;315;333;609;671;898;937;2191;4655,68;93;163;242;279;280;747;800;917;927;1898;3729
P_167748,W_76574,12,185;290;776;895;1184;1500;1652;1901;2852;3273;4498;8376,375;422;650;940;1027;1098;2034;2416;2493;3202;3405;7907,638;743;933;1055;1063;1354;1425;1434;1448;2436;3347;5546,79;244;995;1140;1961;2085;2624;3047;3416;3953;4481;8660,146;320;342;469;971;1526;2126;2338;2530;3340;5005;6096,139;218;263;679;751;1376;2024;2074;2467;2617;4720;7413,185;290;776;895;1184;1500;1652;1901;2852;3273;4498;8376
P_167825,W_55861,12,5;95;112;248;257;309;539;628;1392;1581;1880;5627,22;52;93;283;503;635;876;1174;1379;1459;2052;7833,68;251;262;407;409;1269;1456;3561;3782;4869;5069;5289,15;110;180;357;656;693;834;1298;1563;1721;2068;6908,15;240;390;443;947;951;1360;1780;2139;2911;3004;4393,3;105;329;340;392;452;777;976;1064;1175;1907;4836,5;95;112;248;257;309;539;628;1392;1581;1880;5627
P_167916,W_42997,12,25;34;42;62;217;418;1072;2542;3455;3666;4597;10139,2;31;169;487;818;1515;1594;1938;2937;4751;4992;8069,213;643;1488;2399;3029;3809;3899;4970;5233;5300;9336;11726,10;48;53;88;254;310;1340;2812;3167;3662;4360;10350,1;31;52;128;389;874;1521;1536;2144;2604;3176;9298,2;26;39;59;170;308;1313;2423;2691;3074;3104;9749,25;34;42;62;217;418;1072;2542;3455;3666;4597;10139
P_168050,W_56239,12,115;642;660;814;844;1065;2155;2772;2976;3350;3591;4182,170;368;454;618;1217;1550;2267;2722;3087;3474;3894;4183,15;123;362;1223;1723;2771;2776;2889;2960;4527;4883;6497,135;525;626;758;959;1271;2409;2721;2739;3159;3376;4378,2;37;88;213;506;1029;1341;1927;2371;2506;2792;2958,31;143;371;458;832;961;1328;2618;2706;3044;3091;3119,115;642;660;814;844;1065;2155;2772;2976;3350;3591;4182
P_168054,W_4867,12,94;429;626;772;791;876;1046;1057;1173;1381;1828;2121,603;894;1041;1126;1821;2113;2119;2331;2420;2615;4805;4806,232;250;2137;2542;2688;3336;4253;4306;4438;4712;7172;7385,45;431;588;690;727;840;852;1078;1376;1737;1784;1852,308;538;733;741;933;1175;1181;2220;2267;2539;2968;3079,191;425;641;678;766;772;930;1350;1535;1873;2318;2525,94;429;626;772;791;876;1046;1057;1173;1381;1828;2121
P_168057,W_9671,12,10;64;135;270;340;503;542;674;944;1960;2102;5792,18;37;362;432;638;896;1315;1649;2129;3325;3420;4214,120;158;476;548;991;1228;1751;2207;2641;3714;3889;4301,2;30;68;300;640;652;677;741;918;1269;1516;5724,11;135;328;413;441;471;1003;1667;1745;2016;2410;4030,4;135;204;292;294;348;587;1004;1012;1332;2000;4865,10;64;135;270;340;503;542;674;944;1960;2102;5792
P_168058,W_9006,12,1;14;15;362;446;748;1137;2253;2556;2670;2990;6335,13;110;181;352;1100;1995;2124;2333;2403;3324;4835;4994,384;450;1108;2092;2265;2315;3408;4542;5001;5864;6038;7527,1;79;117;126;172;360;462;1335;2541;2744;3397;5665,33;47;319;843;1229;2136;2642;2828;3342;4735;4747;7093,1;6;28;520;631;1102;1419;2856;2861;3464;3689;6695,1;14;15;362;446;748;1137;2253;2556;2670;2990;6335
P_168059,W_7202,12,60;64;69;106;109;171;317;1338;1446;1469;1881;3532,391;465;581;947;1083;1116;1723;1900;2066;2099;2622;7339,54;1975;2337;3002;3902;4652;4654;5697;5848;6574;7166;10570,23;48;58;151;154;164;758;790;1063;1618;1706;3274,90;99;246;962;972;1473;1771;2166;2199;2684;3428;4461,39;54;59;262;312;362;500;927;2101;2230;2737;2757,60;64;69;106;109;171;317;1338;1446;1469;1881;3532
P_168066,W_119680,12,3;6;13;31;40;82;254;372;571;1274;4234;5434,14;45;144;265;320;1023;2870;4575;4790;5318;5499;7465,193;445;647;2413;2922;4981;6106;6339;6951;7145;7441;7621,5;11;18;27;40;51;321;417;1119;1225;4916;5953,4;7;12;22;30;57;176;329;577;1533;4226;4986,2;3;13;17;25;55;211;232;466;1253;4164;5214,3;6;13;31;40;82;254;372;571;1274;4234;5434
P_168117,W_10902,12,2443;2657;2672;2961;3615;3950;4062;4156;4703;4707;4871;5322,434;2955;3177;3242;3934;4081;4455;5524;5661;6559;6720;6821,1510;2075;5146;5479;6267;6398;6514;8209;8757;9831;11384;11611,2017;2024;2755;3055;3291;3472;3795;3875;4209;4398;4439;5038,136;711;1082;1495;2531;2602;2892;3508;3563;4012;4401;5253,1043;1443;1972;2671;3369;3410;3847;3912;3924;4191;4315;4900,2443;2657;2672;2961;3615;3950;4062;4156;4703;4707;4871;5322
P_16813,W_1276,12,1;2;3;4;5;6;7;23;26;53;58;83,1;3;6;10;20;22;30;141;588;953;1117;2012,33;47;52;89;226;365;714;778;896;1084;1600;2934,1;2;3;4;5;6;7;8;15;66;124;156,1;2;4;7;8;10;11;50;90;141;259;632,1;2;3;4;5;6;7;17;25;35;74;186,1;2;3;4;5;6;7;23;26;53;58;83
P_168130,W_119680,12,67;106;139;149;180;193;199;302;579;604;928;1046,921;1563;1845;2125;3040;3074;3300;4093;4308;5197;6177;6759,216;247;1535;1657;2454;3031;4806;4855;5627;7236;7791;12141,21;67;100;114;155;183;252;256;259;836;939;1072,2;25;51;65;89;95;207;354;431;498;740;1118,10;47;63;71;100;132;172;236;369;385;463;662,67;106;139;149;180;193;199;302;579;604;928;1046
P_168132,W_119680,12,4;5;10;23;30;64;540;625;1348;2588;2991;3258,26;29;39;301;330;471;2821;3948;4324;4985;5495;7423,410;548;1619;2662;3469;4649;5459;6170;7678;8167;8731;9050,6;7;8;16;28;54;236;365;728;1089;1100;1635,16;26;28;41;47;96;388;773;1190;1647;3036;3048,5;6;12;13;15;23;367;559;1299;1643;2837;2988,4;5;10;23;30;64;540;625;1348;2588;2991;3258
P_168134,W_119680,12,24;200;367;428;684;991;1542;1687;1776;2458;3483;3762,3370;5706;6277;6305;6569;6873;6876;7170;7601;7876;8244;9648,674;718;1451;2462;3174;3477;3648;4072;4221;6202;7394;7715,47;604;623;1398;2033;2663;2789;2984;4005;4950;5130;5197,296;653;2290;3043;3103;3210;3242;4024;4360;5442;7351;10428,57;259;1018;1167;1390;1668;1940;2551;2651;3739;5602;7043,24;200;367;428;684;991;1542;1687;1776;2458;3483;3762
P_168135,W_119680,12,29;162;230;759;1145;1669;2086;2609;2644;3573;4178;5018,395;856;1618;1662;2567;4263;7921;8455;8486;8531;9158;10517,132;670;1871;2005;2954;3185;3248;3419;3456;3599;4914;8041,49;470;672;2169;2533;3665;4537;5337;5397;6644;7299;7524,7;250;668;1651;1692;2739;3058;4235;4681;4893;7723;8252,33;41;201;1194;1297;1491;2642;3004;3442;4434;5686;5787,29;162;230;759;1145;1669;2086;2609;2644;3573;4178;5018
P_168186,W_119695,12,24;36;110;202;293;814;931;935;989;1275;2069;3976,240;524;562;851;1114;1477;1975;2338;3420;4739;5798;6901,855;1184;1256;1631;2106;3019;3189;4312;6663;7909;9632;12028,110;155;198;270;537;613;1381;1696;1698;1847;1856;2540,442;455;614;807;1388;1956;3073;3170;3681;4877;6399;7999,63;162;470;538;599;694;1211;1660;2083;2949;4914;5126,24;36;110;202;293;814;931;935;989;1275;2069;3976
P_168189,W_119695,12,4;16;44;256;306;444;452;959;1573;1796;2516;3947,5;66;78;83;107;452;468;487;571;1924;3308;3692,109;313;448;1021;1373;2449;3963;4132;4943;7610;8144;9642,2;18;27;129;190;274;408;706;1613;1847;1927;3130,3;21;30;143;147;157;377;482;778;2293;3033;4069,2;3;48;81;175;374;575;1051;1106;1762;2254;3180,4;16;44;256;306;444;452;959;1573;1796;2516;3947
P_168391,W_26542,12,256;301;442;788;1064;1856;2123;2127;2707;3071;3190;7038,290;661;1342;1594;2319;3022;3134;3739;3893;4040;4933;9409,767;1149;1258;1780;2935;3691;6038;6788;8113;8248;9296;10960,276;438;517;633;1045;1454;1865;2195;2826;3020;3504;7041,408;1213;2086;2363;2464;3170;5037;6220;6522;6579;7561;8012,228;469;986;1277;2201;2297;2506;3938;4084;4477;4479;7244,256;301;442;788;1064;1856;2123;2127;2707;3071;3190;7038
P_168394,W_115814,12,25;87;172;195;262;318;340;406;546;1318;1870;1911,66;83;252;482;561;626;757;1078;1323;1800;1900;4493,234;290;315;518;1038;1214;1475;2110;2197;3064;4225;6307,29;112;174;205;281;294;326;414;432;1326;1397;1749,9;41;73;125;171;227;241;551;604;788;1328;1330,39;54;84;110;185;193;214;216;438;1140;1166;1427,25;87;172;195;262;318;340;406;546;1318;1870;1911
P_168397,W_31360,12,70;71;143;255;464;468;543;1259;1291;2523;2760;7889,121;233;345;415;704;764;807;993;2939;3476;3719;10053,272;328;460;635;1014;1291;1845;1906;2736;4755;7125;7753,8;22;44;231;323;440;509;530;858;1832;2009;8657,20;297;367;475;530;595;869;1117;1209;1486;2963;8414,15;185;201;327;496;575;711;1081;1321;1372;1798;8156,70;71;143;255;464;468;543;1259;1291;2523;2760;7889
P_16846,W_14485,12,1;2;3;4;5;6;16;20;24;44;69;1015,1;3;13;17;23;29;35;94;116;213;711;5212,47;142;657;849;977;1159;1167;1324;1430;1608;3576;5444,1;2;3;4;5;6;7;16;24;28;73;974,1;4;6;11;26;30;44;93;170;176;282;391,1;2;3;5;7;8;9;22;43;68;72;641,1;2;3;4;5;6;16;20;24;44;69;1015
P_16849,W_14485,12,1;2;3;6;8;10;18;34;59;71;278;677,2;3;5;10;13;14;22;78;169;223;639;5585,5;52;422;814;947;974;977;1121;1483;2293;2704;6418,1;3;5;6;9;11;21;42;52;64;295;864,1;2;3;10;18;23;26;36;131;135;176;219,1;2;3;4;6;13;16;23;70;72;183;406,1;2;3;6;8;10;18;34;59;71;278;677
P_16854,W_14485,12,2;3;4;5;9;10;23;24;97;105;141;573,1;2;5;10;33;35;40;55;75;166;185;5515,44;52;63;140;157;264;1050;1098;1192;2028;4002;5977,1;2;3;4;6;8;15;23;47;93;140;673,8;9;28;34;35;52;62;91;102;201;233;408,2;5;6;7;8;15;17;28;103;120;164;330,2;3;4;5;9;10;23;24;97;105;141;573
P_168609,W_118713,12,1;32;392;420;444;659;783;1897;2113;3221;4788;9779,239;270;576;646;1166;1312;1360;1424;2262;4868;6384;8343,80;1795;2229;2536;2802;2958;3662;6077;6824;7240;7986;8178,1;77;216;334;401;875;1111;1720;1810;2608;4594;9958,1047;1320;1712;2203;2416;2493;3382;3891;3977;3987;5287;10088,87;589;612;923;965;1279;1813;2867;3170;3594;4370;9918,1;32;392;420;444;659;783;1897;2113;3221;4788;9779
P_16895,W_2673,12,3;4;36;100;145;186;190;241;345;392;535;665,6;287;389;420;459;730;1137;1257;1747;1851;3162;3843,31;214;527;566;872;938;1125;1765;3096;4165;4462;8433,2;10;21;37;77;192;195;251;366;386;504;974,2;12;45;55;63;137;139;154;232;558;610;2278,1;3;54;63;77;86;122;123;232;357;494;1210,3;4;36;100;145;186;190;241;345;392;535;665
P_168957,W_18507,12,46;100;122;182;208;508;886;1038;1200;1540;1735;2916,47;85;113;339;537;1025;1151;1560;1680;2066;2686;3865,120;131;200;855;976;1631;1639;1683;1967;4593;4743;6139,75;98;108;111;298;453;817;868;1171;1378;1874;3477,75;165;194;306;338;919;985;1277;1515;1630;1833;3808,60;90;136;141;147;598;897;1118;1242;1326;1694;3288,46;100;122;182;208;508;886;1038;1200;1540;1735;2916
P_169006,W_43997,12,33;108;150;836;1756;1853;2761;3409;3879;5273;5405;8182,3;203;426;687;806;1633;3518;3625;3684;4013;4727;5405,76;1028;1115;2064;2714;3017;3134;5373;5620;8330;8781;10146,14;314;412;1583;2025;2231;2909;3387;3647;3694;5363;7249,322;328;634;725;1090;1210;1324;1541;1813;1960;3288;7121,59;212;358;777;1002;1327;1596;1764;2982;3180;3336;7734,33;108;150;836;1756;1853;2761;3409;3879;5273;5405;8182
P_169263,W_7816,12,357;511;529;687;829;1235;1911;2015;2223;2351;3952;7200,563;779;1153;1181;1189;1474;1643;2477;2668;2846;2910;3555,70;197;241;264;347;515;743;1715;3034;4469;4501;5434,362;421;520;664;742;1470;1607;2352;2585;2729;4307;7289,301;307;634;750;906;916;1078;1134;1559;2711;3868;4779,291;475;493;601;624;1089;1262;1801;2064;2202;3252;5356,357;511;529;687;829;1235;1911;2015;2223;2351;3952;7200
P_169566,W_106883,12,199;333;901;926;1564;1868;2259;2921;2970;4085;4140;4499,13;330;581;709;1191;1347;1451;1481;1684;1791;2893;2986,67;394;779;883;1154;1196;2505;2758;3008;3049;3279;4754,44;279;615;973;1120;1246;2119;2964;3383;3900;4101;4236,323;490;805;808;1250;1264;1854;2102;2114;2384;3199;3413,235;242;957;1198;1463;1484;1668;1802;2569;3300;3600;3708,199;333;901;926;1564;1868;2259;2921;2970;4085;4140;4499
P_169573,W_20110,12,12;48;76;1164;1305;1364;1874;2000;2680;2707;3199;5870,123;780;985;1087;1632;2449;2493;2939;3067;4213;5418;6536,192;936;1792;1828;2108;3474;4448;4521;5672;5794;7206;7941,27;32;60;1029;1038;1388;1665;2340;2652;2739;3562;6146,3;117;350;635;1501;1755;1822;2222;3353;4441;4634;5046,4;6;84;780;1585;1623;1956;2132;2920;3172;3201;5455,12;48;76;1164;1305;1364;1874;2000;2680;2707;3199;5870
P_169654,W_6485,12,96;347;468;2599;3183;3405;3541;4150;5566;5856;8583;11413,286;2385;2916;4629;4914;5443;5846;5854;7141;7158;7827;12874,776;955;1209;1866;2263;5598;6497;7203;8903;10821;10919;11954,131;258;310;2542;2903;3262;3641;3934;6137;6723;9143;11392,69;1454;2888;2899;3109;6338;6358;6451;6820;6883;8239;9315,54;748;1158;2876;3074;4452;4860;5529;6225;7137;7539;10455,96;347;468;2599;3183;3405;3541;4150;5566;5856;8583;11413
P_169946,W_9560,12,1021;1363;1613;2280;4124;4454;4600;5268;6364;7538;7539;10751,1171;2029;2436;2983;4650;4664;5459;6301;6371;6487;7851;8109,13;318;2767;5622;6526;7446;7699;8211;10044;10455;11044;12633,659;1033;1441;2324;3391;3505;4278;4958;6643;7207;7255;10897,903;1056;1125;1132;1750;1988;2776;2908;7775;9280;10859;11926,1022;1144;1325;1549;2076;2728;3383;3385;6364;8334;9230;11416,1021;1363;1613;2280;4124;4454;4600;5268;6364;7538;7539;10751
P_16997,W_7446,12,2;3;6;8;28;33;34;55;75;172;192;253,9;47;51;53;71;79;119;144;206;264;394;520,590;1000;1215;2197;3400;3457;3619;3764;4551;5235;5494;6432,1;3;4;7;23;25;38;51;52;132;134;240,3;6;14;26;27;43;156;187;211;218;241;754,1;10;11;12;34;57;66;67;76;85;154;391,2;3;6;8;28;33;34;55;75;172;192;253
P_170014,W_117791,12,24;30;48;79;85;166;172;203;604;1061;3061;9249,71;82;160;217;257;526;571;628;1091;2101;4302;4708,131;477;757;784;926;930;1695;1700;1742;3757;6221;6384,19;36;43;98;100;216;440;499;637;933;4374;8079,45;64;112;160;171;176;223;271;455;485;2468;6696,26;36;44;52;74;116;128;235;279;1048;1440;8185,24;30;48;79;85;166;172;203;604;1061;3061;9249
P_170020,W_119695,12,5;32;38;66;83;91;143;657;729;866;2018;2699,2;358;487;583;590;692;861;1405;1609;2084;2118;4057,95;104;242;1258;1409;1482;2188;2513;3773;7200;7671;9324,17;26;71;122;142;196;232;649;1183;1252;2476;3081,9;18;36;85;296;623;660;758;968;1061;1175;1922,3;6;28;50;75;320;559;584;606;724;1289;1430,5;32;38;66;83;91;143;657;729;866;2018;2699
P_170075,W_119695,12,9;12;13;17;208;259;268;389;403;572;636;1220,13;86;272;312;313;347;774;1178;1318;1422;1906;2007,106;2453;3376;3996;4438;6304;6324;8790;8867;11211;11913;13870,4;8;22;52;165;166;198;379;396;441;736;880,3;22;40;79;211;227;361;532;658;905;973;1499,5;9;13;43;82;181;219;286;387;512;863;895,9;12;13;17;208;259;268;389;403;572;636;1220
P_170134,W_8824,12,22;27;37;38;57;58;83;182;200;225;489;1173,1;4;6;16;126;164;232;301;590;645;665;4193,329;350;390;489;1732;1953;1983;2569;2896;2914;3003;3553,8;13;16;21;40;44;84;110;128;276;577;1120,4;8;24;30;36;50;56;121;179;207;575;827,8;17;19;20;25;31;78;90;112;307;421;502,22;27;37;38;57;58;83;182;200;225;489;1173
P_170283,W_114947,12,25;34;103;163;318;324;338;390;1529;1604;2005;2531,50;114;119;227;474;504;627;708;710;2137;2275;2784,85;491;933;2509;2675;4308;6231;6841;7357;7645;7979;8143,3;43;49;69;129;204;471;489;949;1907;2027;2568,67;117;121;200;210;515;1003;1385;1608;2193;3932;4662,20;24;68;155;187;189;582;774;1443;1478;2823;3021,25;34;103;163;318;324;338;390;1529;1604;2005;2531
P_170284,W_117791,12,42;75;79;90;98;119;486;602;1051;2441;3914;5741,39;51;89;179;294;339;441;1885;2821;3665;5457;5803,38;285;2289;2501;2576;2796;3976;5103;5294;5918;6306;14285,26;31;34;52;81;96;559;647;1285;2347;3398;4752,14;29;106;126;864;932;1249;1374;2476;3439;3936;7090,23;33;50;79;154;237;633;1042;1392;3062;4450;4772,42;75;79;90;98;119;486;602;1051;2441;3914;5741
P_170285,W_119695,12,45;68;112;881;1296;1502;1534;1689;2566;4195;5546;6562,664;876;1076;1622;2135;2163;2369;2571;3547;3608;3769;4468,390;494;530;1228;1801;2414;3510;4403;4593;5068;6100;6795,60;61;91;204;563;599;1202;1221;2637;3538;4416;4786,356;374;500;1035;1431;1725;1790;1892;2186;2305;4881;5384,88;130;611;911;1134;1347;1557;2013;3106;3212;3432;5752,45;68;112;881;1296;1502;1534;1689;2566;4195;5546;6562
P_170294,W_119695,12,14;22;65;102;113;115;120;437;641;840;2554;4297,1;261;344;347;374;579;782;854;1471;1640;2436;3108,66;70;795;955;1030;1639;2100;2464;2960;6410;6874;8843,17;21;73;107;130;201;378;855;943;1070;3325;4813,4;15;21;61;65;273;405;713;1202;1303;1590;1606,14;32;42;44;45;65;259;381;582;1003;1498;2922,14;22;65;102;113;115;120;437;641;840;2554;4297
P_170295,W_119695,12,9;60;299;652;821;997;1079;1851;2091;2164;2183;3380,27;285;623;908;1712;2064;2148;2182;3182;4113;5335;5556,60;3003;5277;5789;6910;8996;9019;11212;11430;12772;13167;14215,9;79;179;538;618;752;1466;1682;1837;2021;2034;2571,16;54;314;542;563;932;983;1169;1201;1221;3369;4108,3;89;252;439;533;900;1219;1369;1452;1738;2032;2132,9;60;299;652;821;997;1079;1851;2091;2164;2183;3380
P_170345,W_26111,12,324;478;508;711;843;1323;1391;1611;1685;1821;2710;2972,158;353;676;857;1366;1934;2291;2490;3640;3796;4334;7428,11;46;386;469;1461;1804;2511;3647;4837;6953;10223;13830,257;357;373;374;882;999;1042;1241;1391;1627;1749;2366,13;61;125;131;166;168;223;277;285;301;730;2534,100;185;244;319;336;428;492;599;622;690;1458;2262,324;478;508;711;843;1323;1391;1611;1685;1821;2710;2972
P_170349,W_119695,12,6;49;92;173;347;401;404;745;897;2624;3820;7063,87;236;280;284;382;455;750;864;1193;2532;4736;5691,607;1141;1870;2107;2469;3278;4016;5021;6741;7094;7098;7120,11;46;129;204;222;390;669;752;1018;2259;3132;6272,75;146;221;251;1044;1298;1947;2119;2507;2735;4491;6330,8;75;78;142;540;838;913;1073;1206;2978;4496;5740,6;49;92;173;347;401;404;745;897;2624;3820;7063
P_170361,W_91786,12,4;89;108;185;210;254;349;382;532;853;949;1401,5;12;52;112;191;279;418;587;1146;1376;1573;2457,24;232;849;1213;1635;1823;1997;2147;2611;2916;3145;3178,10;165;167;235;257;311;397;466;762;1055;1129;1213,31;178;185;188;218;240;252;366;437;584;1025;1228,2;79;106;139;149;212;213;248;348;507;864;1047,4;89;108;185;210;254;349;382;532;853;949;1401
P_170414,W_119996,12,880;1639;1868;1942;2198;2347;2520;2784;3111;3825;6694;7091,1045;1591;1623;1965;1978;2173;3716;3858;4676;5523;5676;8161,1166;1490;2944;3046;4039;4077;4568;4781;5020;5278;5405;7891,698;1636;2092;2247;2377;2466;2624;2737;2933;3315;6890;7122,1615;1999;2146;2651;2792;2846;2905;3173;3585;5346;6158;7811,1219;1964;2090;2263;2363;2485;2503;2760;2902;4539;6413;7380,880;1639;1868;1942;2198;2347;2520;2784;3111;3825;6694;7091
P_170418,W_119996,12,41;261;1078;1456;1760;1878;3387;3425;3999;4154;7538;7936,164;900;2579;2710;3367;4581;5226;6665;6972;7338;9290;10413,1248;3658;5958;6215;7146;7304;10730;11833;12081;13324;13424;13763,13;394;942;1578;2337;2446;4048;4208;4607;4700;8644;9078,362;1201;1703;2517;2723;3447;4013;4503;5631;6015;6824;8614,89;633;1267;1698;2103;2321;2883;3791;4721;5203;7187;7961,41;261;1078;1456;1760;1878;3387;3425;3999;4154;7538;7936
